"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","RD12-ADS","RD12-AIS","RD12-ACS","RD12-RCS","RD12-RIS","RD13-ADS","RD13-AIS","RD13-ACS","RD13-RCS","RD13-RIS","RD14-ADS","RD14-AIS","RD14-ACS","RD14-RCS","RD14-RIS","RD15-ADS","RD15-AIS","RD15-ACS","RD15-RCS","RD15-RIS","RD16-ADS","RD16-AIS","RD16-ACS","RD16-RCS","RD16-RIS","RD17-ADS","RD17-AIS","RD17-ACS","RD17-RCS","RD17-RIS","RD18-ADS","RD18-AIS","RD18-ACS","RD18-RCS","RD18-RIS","RD19-ADS","RD19-AIS","RD19-ACS","RD19-RCS","RD19-RIS","CPS1-ADS","CPS1-AIS","CPS1-ACS","CPS1-RCS","CPS1-RIS","CPS2-ADS","CPS2-AIS","CPS2-ACS","CPS2-RCS","CPS2-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS","MSV7-ADS","MSV7-AIS","MSV7-ACS","MSV7-RCS","MSV7-RIS","MSV8-ADS","MSV8-AIS","MSV8-ACS","MSV8-RCS","MSV8-RIS"
"11","4.0","2.0","8.0","0.15384615384615385","0.07692307692307693","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","2.0","3.0","6.0","0.07692307692307693","0.11538461538461539","4.0","2.0","8.0","0.15384615384615385","0.07692307692307693","2.0","3.0","6.0","0.07692307692307693","0.11538461538461539","2.0","4.0","8.0","0.07692307692307693","0.15384615384615385","5.0","2.0","10.0","0.19230769230769232","0.07692307692307693","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","3.0","3.0","9.0","0.11538461538461539","0.11538461538461539","5.0","1.0","5.0","0.19230769230769232","0.038461538461538464","7.0","1.0","7.0","0.2692307692307692","0.038461538461538464","5.0","1.0","5.0","0.19230769230769232","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","6.0","2.0","12.0","0.23076923076923078","0.07692307692307693","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","3.0","1.0","3.0","0.11538461538461539","0.038461538461538464","4.0","2.0","8.0","0.15384615384615385","0.07692307692307693","5.0","1.0","5.0","0.19230769230769232","0.038461538461538464","5.0","1.0","5.0","0.19230769230769232","0.038461538461538464","4.0","1.0","4.0","0.15384615384615385","0.038461538461538464","6.0","0.0","0.0","0.23076923076923078","0.0","1.0","23.0","23.0","0.038461538461538464","0.8846153846153846","1.0","10.0","10.0","0.038461538461538464","0.38461538461538464","1.0","24.0","24.0","0.038461538461538464","0.9230769230769231","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","4.0","2.0","8.0","0.14285714285714285","0.07142857142857142","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","2.0","3.0","6.0","0.07142857142857142","0.10714285714285714","4.0","2.0","8.0","0.14285714285714285","0.07142857142857142","2.0","3.0","6.0","0.07142857142857142","0.10714285714285714","2.0","4.0","8.0","0.07142857142857142","0.14285714285714285","5.0","2.0","10.0","0.17857142857142858","0.07142857142857142","4.0","1.0","4.0","0.14285714285714285","0.03571428571428571","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","3.0","3.0","9.0","0.10714285714285714","0.10714285714285714","5.0","1.0","5.0","0.17857142857142858","0.03571428571428571","9.0","1.0","9.0","0.32142857142857145","0.03571428571428571","5.0","1.0","5.0","0.17857142857142858","0.03571428571428571","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","6.0","2.0","12.0","0.21428571428571427","0.07142857142857142","4.0","1.0","4.0","0.14285714285714285","0.03571428571428571","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","4.0","2.0","8.0","0.14285714285714285","0.07142857142857142","5.0","1.0","5.0","0.17857142857142858","0.03571428571428571","5.0","1.0","5.0","0.17857142857142858","0.03571428571428571","4.0","1.0","4.0","0.14285714285714285","0.03571428571428571","6.0","0.0","0.0","0.21428571428571427","0.0","1.0","25.0","25.0","0.03571428571428571","0.8928571428571429","1.0","10.0","10.0","0.03571428571428571","0.35714285714285715","1.0","25.0","25.0","0.03571428571428571","0.8928571428571429","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","1.0","1.0","1.0","0.03571428571428571","0.03571428571428571","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","4.0","2.0","8.0","0.14285714285714285","0.07142857142857142","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","2.0","3.0","6.0","0.07142857142857142","0.10714285714285714","4.0","2.0","8.0","0.14285714285714285","0.07142857142857142","2.0","3.0","6.0","0.07142857142857142","0.10714285714285714","2.0","4.0","8.0","0.07142857142857142","0.14285714285714285","5.0","2.0","10.0","0.17857142857142858","0.07142857142857142","4.0","1.0","4.0","0.14285714285714285","0.03571428571428571","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","3.0","3.0","9.0","0.10714285714285714","0.10714285714285714","5.0","1.0","5.0","0.17857142857142858","0.03571428571428571","9.0","1.0","9.0","0.32142857142857145","0.03571428571428571","5.0","1.0","5.0","0.17857142857142858","0.03571428571428571","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","6.0","2.0","12.0","0.21428571428571427","0.07142857142857142","4.0","1.0","4.0","0.14285714285714285","0.03571428571428571","3.0","1.0","3.0","0.10714285714285714","0.03571428571428571","4.0","2.0","8.0","0.14285714285714285","0.07142857142857142","5.0","1.0","5.0","0.17857142857142858","0.03571428571428571","5.0","1.0","5.0","0.17857142857142858","0.03571428571428571","4.0","1.0","4.0","0.14285714285714285","0.03571428571428571","6.0","0.0","0.0","0.21428571428571427","0.0","1.0","25.0","25.0","0.03571428571428571","0.8928571428571429","1.0","10.0","10.0","0.03571428571428571","0.35714285714285715","1.0","25.0","25.0","0.03571428571428571","0.8928571428571429","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","1.0","1.0","1.0","0.03571428571428571","0.03571428571428571","2.0","1.0","2.0","0.07142857142857142","0.03571428571428571","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","4.0","2.0","8.0","0.13793103448275862","0.06896551724137931","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","2.0","3.0","6.0","0.06896551724137931","0.10344827586206896","4.0","2.0","8.0","0.13793103448275862","0.06896551724137931","2.0","3.0","6.0","0.06896551724137931","0.10344827586206896","2.0","4.0","8.0","0.06896551724137931","0.13793103448275862","5.0","2.0","10.0","0.1724137931034483","0.06896551724137931","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","3.0","3.0","9.0","0.10344827586206896","0.10344827586206896","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","10.0","1.0","10.0","0.3448275862068966","0.034482758620689655","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","6.0","2.0","12.0","0.20689655172413793","0.06896551724137931","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","4.0","2.0","8.0","0.13793103448275862","0.06896551724137931","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","6.0","0.0","0.0","0.20689655172413793","0.0","1.0","26.0","26.0","0.034482758620689655","0.896551724137931","1.0","11.0","11.0","0.034482758620689655","0.3793103448275862","1.0","25.0","25.0","0.034482758620689655","0.8620689655172413","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","4.0","2.0","8.0","0.13793103448275862","0.06896551724137931","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","2.0","3.0","6.0","0.06896551724137931","0.10344827586206896","4.0","2.0","8.0","0.13793103448275862","0.06896551724137931","2.0","3.0","6.0","0.06896551724137931","0.10344827586206896","2.0","4.0","8.0","0.06896551724137931","0.13793103448275862","5.0","2.0","10.0","0.1724137931034483","0.06896551724137931","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","3.0","3.0","9.0","0.10344827586206896","0.10344827586206896","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","10.0","1.0","10.0","0.3448275862068966","0.034482758620689655","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","6.0","2.0","12.0","0.20689655172413793","0.06896551724137931","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","3.0","1.0","3.0","0.10344827586206896","0.034482758620689655","4.0","2.0","8.0","0.13793103448275862","0.06896551724137931","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","5.0","1.0","5.0","0.1724137931034483","0.034482758620689655","4.0","1.0","4.0","0.13793103448275862","0.034482758620689655","6.0","0.0","0.0","0.20689655172413793","0.0","1.0","26.0","26.0","0.034482758620689655","0.896551724137931","1.0","11.0","11.0","0.034482758620689655","0.3793103448275862","1.0","25.0","25.0","0.034482758620689655","0.8620689655172413","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","1.0","1.0","1.0","0.034482758620689655","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","2.0","1.0","2.0","0.06896551724137931","0.034482758620689655","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","4.0","2.0","8.0","0.13333333333333333","0.06666666666666667","3.0","1.0","3.0","0.1","0.03333333333333333","2.0","3.0","6.0","0.06666666666666667","0.1","4.0","2.0","8.0","0.13333333333333333","0.06666666666666667","2.0","3.0","6.0","0.06666666666666667","0.1","2.0","4.0","8.0","0.06666666666666667","0.13333333333333333","5.0","2.0","10.0","0.16666666666666666","0.06666666666666667","4.0","1.0","4.0","0.13333333333333333","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","3.0","3.0","9.0","0.1","0.1","5.0","1.0","5.0","0.16666666666666666","0.03333333333333333","11.0","1.0","11.0","0.36666666666666664","0.03333333333333333","5.0","1.0","5.0","0.16666666666666666","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","6.0","2.0","12.0","0.2","0.06666666666666667","4.0","1.0","4.0","0.13333333333333333","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","4.0","2.0","8.0","0.13333333333333333","0.06666666666666667","5.0","1.0","5.0","0.16666666666666666","0.03333333333333333","5.0","1.0","5.0","0.16666666666666666","0.03333333333333333","4.0","1.0","4.0","0.13333333333333333","0.03333333333333333","6.0","0.0","0.0","0.2","0.0","1.0","27.0","27.0","0.03333333333333333","0.9","1.0","12.0","12.0","0.03333333333333333","0.4","1.0","25.0","25.0","0.03333333333333333","0.8333333333333334","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","1.0","1.0","1.0","0.03333333333333333","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","4.0","2.0","8.0","0.13333333333333333","0.06666666666666667","3.0","1.0","3.0","0.1","0.03333333333333333","2.0","3.0","6.0","0.06666666666666667","0.1","4.0","2.0","8.0","0.13333333333333333","0.06666666666666667","2.0","3.0","6.0","0.06666666666666667","0.1","2.0","4.0","8.0","0.06666666666666667","0.13333333333333333","5.0","2.0","10.0","0.16666666666666666","0.06666666666666667","4.0","1.0","4.0","0.13333333333333333","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","3.0","3.0","9.0","0.1","0.1","5.0","1.0","5.0","0.16666666666666666","0.03333333333333333","11.0","1.0","11.0","0.36666666666666664","0.03333333333333333","5.0","1.0","5.0","0.16666666666666666","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","6.0","2.0","12.0","0.2","0.06666666666666667","4.0","1.0","4.0","0.13333333333333333","0.03333333333333333","3.0","1.0","3.0","0.1","0.03333333333333333","4.0","2.0","8.0","0.13333333333333333","0.06666666666666667","5.0","1.0","5.0","0.16666666666666666","0.03333333333333333","5.0","1.0","5.0","0.16666666666666666","0.03333333333333333","4.0","1.0","4.0","0.13333333333333333","0.03333333333333333","6.0","0.0","0.0","0.2","0.0","1.0","27.0","27.0","0.03333333333333333","0.9","1.0","12.0","12.0","0.03333333333333333","0.4","1.0","25.0","25.0","0.03333333333333333","0.8333333333333334","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","1.0","1.0","1.0","0.03333333333333333","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","2.0","1.0","2.0","0.06666666666666667","0.03333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","4.0","2.0","8.0","0.12903225806451613","0.06451612903225806","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","2.0","3.0","6.0","0.06451612903225806","0.0967741935483871","4.0","2.0","8.0","0.12903225806451613","0.06451612903225806","2.0","3.0","6.0","0.06451612903225806","0.0967741935483871","2.0","4.0","8.0","0.06451612903225806","0.12903225806451613","5.0","2.0","10.0","0.16129032258064516","0.06451612903225806","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","3.0","3.0","9.0","0.0967741935483871","0.0967741935483871","5.0","1.0","5.0","0.16129032258064516","0.03225806451612903","12.0","1.0","12.0","0.3870967741935484","0.03225806451612903","5.0","1.0","5.0","0.16129032258064516","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","6.0","2.0","12.0","0.1935483870967742","0.06451612903225806","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","4.0","2.0","8.0","0.12903225806451613","0.06451612903225806","5.0","1.0","5.0","0.16129032258064516","0.03225806451612903","5.0","1.0","5.0","0.16129032258064516","0.03225806451612903","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","6.0","0.0","0.0","0.1935483870967742","0.0","1.0","28.0","28.0","0.03225806451612903","0.9032258064516129","1.0","13.0","13.0","0.03225806451612903","0.41935483870967744","1.0","25.0","25.0","0.03225806451612903","0.8064516129032258","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","1.0","1.0","1.0","0.03225806451612903","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19","4.0","2.0","8.0","0.12903225806451613","0.06451612903225806","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","2.0","3.0","6.0","0.06451612903225806","0.0967741935483871","4.0","2.0","8.0","0.12903225806451613","0.06451612903225806","2.0","3.0","6.0","0.06451612903225806","0.0967741935483871","2.0","4.0","8.0","0.06451612903225806","0.12903225806451613","5.0","2.0","10.0","0.16129032258064516","0.06451612903225806","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","3.0","3.0","9.0","0.0967741935483871","0.0967741935483871","5.0","1.0","5.0","0.16129032258064516","0.03225806451612903","12.0","1.0","12.0","0.3870967741935484","0.03225806451612903","5.0","1.0","5.0","0.16129032258064516","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","6.0","2.0","12.0","0.1935483870967742","0.06451612903225806","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","3.0","1.0","3.0","0.0967741935483871","0.03225806451612903","4.0","2.0","8.0","0.12903225806451613","0.06451612903225806","5.0","1.0","5.0","0.16129032258064516","0.03225806451612903","5.0","1.0","5.0","0.16129032258064516","0.03225806451612903","4.0","1.0","4.0","0.12903225806451613","0.03225806451612903","6.0","0.0","0.0","0.1935483870967742","0.0","1.0","28.0","28.0","0.03225806451612903","0.9032258064516129","1.0","13.0","13.0","0.03225806451612903","0.41935483870967744","1.0","25.0","25.0","0.03225806451612903","0.8064516129032258","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","1.0","1.0","1.0","0.03225806451612903","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","2.0","1.0","2.0","0.06451612903225806","0.03225806451612903","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"20","4.0","2.0","8.0","0.125","0.0625","3.0","1.0","3.0","0.09375","0.03125","2.0","3.0","6.0","0.0625","0.09375","4.0","2.0","8.0","0.125","0.0625","2.0","3.0","6.0","0.0625","0.09375","2.0","4.0","8.0","0.0625","0.125","5.0","2.0","10.0","0.15625","0.0625","4.0","1.0","4.0","0.125","0.03125","3.0","1.0","3.0","0.09375","0.03125","3.0","3.0","9.0","0.09375","0.09375","5.0","1.0","5.0","0.15625","0.03125","13.0","1.0","13.0","0.40625","0.03125","5.0","1.0","5.0","0.15625","0.03125","2.0","1.0","2.0","0.0625","0.03125","6.0","2.0","12.0","0.1875","0.0625","4.0","1.0","4.0","0.125","0.03125","3.0","1.0","3.0","0.09375","0.03125","4.0","2.0","8.0","0.125","0.0625","5.0","1.0","5.0","0.15625","0.03125","5.0","1.0","5.0","0.15625","0.03125","4.0","1.0","4.0","0.125","0.03125","6.0","0.0","0.0","0.1875","0.0","1.0","29.0","29.0","0.03125","0.90625","1.0","14.0","14.0","0.03125","0.4375","1.0","25.0","25.0","0.03125","0.78125","2.0","1.0","2.0","0.0625","0.03125","1.0","1.0","1.0","0.03125","0.03125","2.0","1.0","2.0","0.0625","0.03125","2.0","1.0","2.0","0.0625","0.03125","2.0","1.0","2.0","0.0625","0.03125","2.0","1.0","2.0","0.0625","0.03125","2.0","1.0","2.0","0.0625","0.03125","0.0","0.0","0.0","0.0","0.0"
"21","4.0","2.0","8.0","0.12121212121212122","0.06060606060606061","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","2.0","3.0","6.0","0.06060606060606061","0.09090909090909091","4.0","2.0","8.0","0.12121212121212122","0.06060606060606061","2.0","3.0","6.0","0.06060606060606061","0.09090909090909091","2.0","4.0","8.0","0.06060606060606061","0.12121212121212122","5.0","2.0","10.0","0.15151515151515152","0.06060606060606061","4.0","1.0","4.0","0.12121212121212122","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","3.0","3.0","9.0","0.09090909090909091","0.09090909090909091","5.0","1.0","5.0","0.15151515151515152","0.030303030303030304","14.0","1.0","14.0","0.42424242424242425","0.030303030303030304","5.0","1.0","5.0","0.15151515151515152","0.030303030303030304","2.0","1.0","2.0","0.06060606060606061","0.030303030303030304","6.0","2.0","12.0","0.18181818181818182","0.06060606060606061","4.0","1.0","4.0","0.12121212121212122","0.030303030303030304","3.0","1.0","3.0","0.09090909090909091","0.030303030303030304","4.0","2.0","8.0","0.12121212121212122","0.06060606060606061","5.0","1.0","5.0","0.15151515151515152","0.030303030303030304","5.0","1.0","5.0","0.15151515151515152","0.030303030303030304","4.0","1.0","4.0","0.12121212121212122","0.030303030303030304","6.0","0.0","0.0","0.18181818181818182","0.0","1.0","30.0","30.0","0.030303030303030304","0.9090909090909091","1.0","15.0","15.0","0.030303030303030304","0.45454545454545453","1.0","25.0","25.0","0.030303030303030304","0.7575757575757576","2.0","1.0","2.0","0.06060606060606061","0.030303030303030304","1.0","1.0","1.0","0.030303030303030304","0.030303030303030304","2.0","1.0","2.0","0.06060606060606061","0.030303030303030304","2.0","1.0","2.0","0.06060606060606061","0.030303030303030304","2.0","1.0","2.0","0.06060606060606061","0.030303030303030304","2.0","1.0","2.0","0.06060606060606061","0.030303030303030304","2.0","1.0","2.0","0.06060606060606061","0.030303030303030304","2.0","1.0","2.0","0.06060606060606061","0.030303030303030304"
