"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2284946","0.5349462","0.23484848484848486","2.5833333333333335","3.0","0","1.0","0","2.0","0","4.0","0.1363636","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","7.0","0.03486924","3.0","0","3.0","0","1.0","0","9.0","0.02679426","2.0","0","3.0","0"
"11","0.2284946","0.5349462","0.23484848484848486","2.5833333333333335","3.0","0","1.0","0","2.0","0","4.0","0.1333333","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","7.0","0.03333333","3.0","0","3.0","0","1.0","0","9.0","0.02564103","2.0","0","3.0","0"
"12","0.2284946","0.5349462","0.23484848484848486","2.5833333333333335","3.0","0","1.0","0","2.0","0","4.0","0.1298077","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","7.0","0.03183024","3.0","0","3.0","0","1.0","0","9.0","0.02450647","2.0","0","3.0","0"
"13","0.2284946","0.5349462","0.23484848484848486","2.5833333333333335","3.0","0","1.0","0","2.0","0","4.0","0.1260504","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","7.0","0.03039514","3.0","0","3.0","0","1.0","0","9.0","0.02341920","2.0","0","3.0","0"
"14","0.2284946","0.5349462","0.23484848484848486","2.5833333333333335","3.0","0","1.0","0","2.0","0","4.0","0.1222222","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","7.0","0.02904290","3.0","0","3.0","0","1.0","0","9.0","0.02239186","2.0","0","3.0","0"
"15","0.2284946","0.5349462","0.23484848484848486","2.5833333333333335","3.0","0","1.0","0","2.0","0","4.0","0.1184211","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","7.0","0.02777778","3.0","0","3.0","0","1.0","0","9.0","0.02142857","2.0","0","3.0","0"
"16","0.2284946","0.5349462","0.23484848484848486","2.5833333333333335","3.0","0","1.0","0","2.0","0","4.0","0.1147059","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","7.0","0.02659847","3.0","0","3.0","0","1.0","0","9.0","0.02052902","2.0","0","3.0","0"
"17","0.2284946","0.5349462","0.23484848484848486","2.5833333333333335","3.0","0","1.0","0","2.0","0","4.0","0.1111111","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","7.0","0.02550091","3.0","0","3.0","0","1.0","0","9.0","0.01969058","2.0","0","3.0","0"
"18","0.2284946","0.5349462","0.23484848484848486","2.5833333333333335","3.0","0","1.0","0","2.0","0","4.0","0.1076555","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","7.0","0.02447980","3.0","0","3.0","0","1.0","0","9.0","0.01890955","2.0","0","3.0","0"
"19","0.2284946","0.5349462","0.23484848484848486","2.5833333333333335","3.0","0","1.0","0","2.0","0","4.0","0.1043478","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","7.0","0.02352941","3.0","0","3.0","0","1.0","0","9.0","0.01818182","2.0","0","3.0","0"
"20","0.2284946","0.5349462","0.23484848484848486","2.5833333333333335","3.0","0","1.0","0","2.0","0","4.0","0.1011905","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","7.0","0.02264402","3.0","0","3.0","0","1.0","0","9.0","0.01750322","2.0","0","3.0","0"
