"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS"
"10","0.4783951","0.2993827","0.20454545454545456","2.25","2.0","0","2.0","0","1.0","0.1704545","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","8.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","6.0","0","0.0","0","1.0","0","4.0","0","3.0","0","4.0","0.05565863","0.0","0","4.0","0"
"11","0.4783951","0.2993827","0.20454545454545456","2.25","2.0","0","2.0","0","1.0","0.1715686","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","8.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","6.0","0","0.0","0","1.0","0","4.0","0","3.0","0","4.0","0.05503145","0.0","0","4.0","0"
"12","0.4783951","0.2993827","0.20454545454545456","2.25","2.0","0","2.0","0","1.0","0.1709402","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","8.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","6.0","0","0.0","0","1.0","0","4.0","0","3.0","0","4.0","0.05398111","0.0","0","4.0","0"
"13","0.4783951","0.2993827","0.20454545454545456","2.25","2.0","0","2.0","0","1.0","0.1691729","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","8.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","6.0","0","0.0","0","1.0","0","4.0","0","3.0","0","4.0","0.05269321","0.0","0","4.0","0"
"14","0.4783951","0.2993827","0.20454545454545456","2.25","2.0","0","2.0","0","1.0","0.1666667","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","8.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","6.0","0","0.0","0","1.0","0","4.0","0","3.0","0","4.0","0.05128205","0.0","0","4.0","0"
"15","0.4783951","0.2993827","0.20454545454545456","2.25","2.0","0","2.0","0","1.0","0.1636905","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","8.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","6.0","0","0.0","0","1.0","0","4.0","0","3.0","0","4.0","0.04981884","0.0","0","4.0","0"
"16","0.4783951","0.2993827","0.20454545454545456","2.25","2.0","0","2.0","0","1.0","0.1604278","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","8.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","6.0","0","0.0","0","1.0","0","4.0","0","3.0","0","4.0","0.04834811","0.0","0","4.0","0"
"17","0.4783951","0.2993827","0.20454545454545456","2.25","2.0","0","2.0","0","1.0","0.1570048","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","8.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","6.0","0","0.0","0","1.0","0","4.0","0","3.0","0","4.0","0.04689755","0.0","0","4.0","0"
"18","0.4783951","0.2993827","0.20454545454545456","2.25","2.0","0","2.0","0","1.0","0.1535088","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","8.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","6.0","0","0.0","0","1.0","0","4.0","0","3.0","0","4.0","0.04548408","0.0","0","4.0","0"
"19","0.4783951","0.2993827","0.20454545454545456","2.25","2.0","0","2.0","0","1.0","0.15","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","8.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","6.0","0","0.0","0","1.0","0","4.0","0","3.0","0","4.0","0.04411765","0.0","0","4.0","0"
"20","0.4783951","0.2993827","0.20454545454545456","2.25","2.0","0","2.0","0","1.0","0.1465201","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","8.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","6.0","0","0.0","0","1.0","0","4.0","0","3.0","0","4.0","0.04280364","0.0","0","4.0","0"
