"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2934783","0.5398551","0.17424242424242425","1.9166666666666667","2.0","0","1.0","0","1.0","0","3.0","0.1268499","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","4.0","0","1.0","0","3.0","0","0.0","0","0.0","0","10.0","0.02597403","1.0","0","2.0","0"
"11","0.2934783","0.5398551","0.17424242424242425","1.9166666666666667","2.0","0","1.0","0","1.0","0","3.0","0.1268116","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","4.0","0","1.0","0","3.0","0","0.0","0","0.0","0","10.0","0.02536232","1.0","0","2.0","0"
"12","0.2934783","0.5398551","0.17424242424242425","1.9166666666666667","2.0","0","1.0","0","1.0","0","3.0","0.1255887","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","4.0","0","1.0","0","3.0","0","0.0","0","0.0","0","10.0","0.02461538","1.0","0","2.0","0"
"13","0.2934783","0.5398551","0.17424242424242425","1.9166666666666667","2.0","0","1.0","0","1.0","0","3.0","0.1236264","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","4.0","0","1.0","0","3.0","0","0.0","0","0.0","0","10.0","0.02380952","1.0","0","2.0","0"
"14","0.2934783","0.5398551","0.17424242424242425","1.9166666666666667","2.0","0","1.0","0","1.0","0","3.0","0.1212121","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","4.0","0","1.0","0","3.0","0","0.0","0","0.0","0","10.0","0.02298851","1.0","0","2.0","0"
"15","0.2934783","0.5398551","0.17424242424242425","1.9166666666666667","2.0","0","1.0","0","1.0","0","3.0","0.1185345","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","4.0","0","1.0","0","3.0","0","0.0","0","0.0","0","10.0","0.02217742","1.0","0","2.0","0"
"16","0.2934783","0.5398551","0.17424242424242425","1.9166666666666667","2.0","0","1.0","0","1.0","0","3.0","0.1157184","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","4.0","0","1.0","0","3.0","0","0.0","0","0.0","0","10.0","0.02139037","1.0","0","2.0","0"
"17","0.2934783","0.5398551","0.17424242424242425","1.9166666666666667","2.0","0","1.0","0","1.0","0","3.0","0.1128472","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","4.0","0","1.0","0","3.0","0","0.0","0","0.0","0","10.0","0.02063492","1.0","0","2.0","0"
"18","0.2934783","0.5398551","0.17424242424242425","1.9166666666666667","2.0","0","1.0","0","1.0","0","3.0","0.1099764","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","4.0","0","1.0","0","3.0","0","0.0","0","0.0","0","10.0","0.01991465","1.0","0","2.0","0"
"19","0.2934783","0.5398551","0.17424242424242425","1.9166666666666667","2.0","0","1.0","0","1.0","0","3.0","0.1071429","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","4.0","0","1.0","0","3.0","0","0.0","0","0.0","0","10.0","0.01923077","1.0","0","2.0","0"
"20","0.2934783","0.5398551","0.17424242424242425","1.9166666666666667","2.0","0","1.0","0","1.0","0","3.0","0.1043705","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","0.0","0","4.0","0","1.0","0","3.0","0","0.0","0","0.0","0","10.0","0.01858304","1.0","0","2.0","0"
