"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2297872","0.5673759","0.22380952380952382","3.1333333333333333","2.0","0","4.0","0.1363636","3.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","1.0","0","12.0","0.01988636","1.0","0","6.0","0.04105572","1.0","0","13.0","0.01831262","3.0","0","3.0","0"
"11","0.2297872","0.5673759","0.22380952380952382","3.1333333333333333","2.0","0","4.0","0.1333333","3.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","1.0","0","12.0","0.01904762","1.0","0","6.0","0.03921569","1.0","0","13.0","0.01754386","3.0","0","3.0","0"
"12","0.2297872","0.5673759","0.22380952380952382","3.1333333333333333","2.0","0","4.0","0.1298077","3.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","1.0","0","12.0","0.01821862","1.0","0","6.0","0.03742204","1.0","0","13.0","0.01678322","3.0","0","3.0","0"
"13","0.2297872","0.5673759","0.22380952380952382","3.1333333333333333","2.0","0","4.0","0.1260504","3.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","1.0","0","12.0","0.01742160","1.0","0","6.0","0.03571429","1.0","0","13.0","0.01605136","3.0","0","3.0","0"
"14","0.2297872","0.5673759","0.22380952380952382","3.1333333333333333","2.0","0","4.0","0.1222222","3.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","1.0","0","12.0","0.01666667","1.0","0","6.0","0.03410853","1.0","0","13.0","0.01535777","3.0","0","3.0","0"
"15","0.2297872","0.5673759","0.22380952380952382","3.1333333333333333","2.0","0","4.0","0.1184211","3.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","1.0","0","12.0","0.01595745","1.0","0","6.0","0.03260870","1.0","0","13.0","0.01470588","3.0","0","3.0","0"
"16","0.2297872","0.5673759","0.22380952380952382","3.1333333333333333","2.0","0","4.0","0.1147059","3.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","1.0","0","12.0","0.01529412","1.0","0","6.0","0.03121248","1.0","0","13.0","0.01409596","3.0","0","3.0","0"
"17","0.2297872","0.5673759","0.22380952380952382","3.1333333333333333","2.0","0","4.0","0.1111111","3.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","1.0","0","12.0","0.01467505","1.0","0","6.0","0.02991453","1.0","0","13.0","0.01352657","3.0","0","3.0","0"
"18","0.2297872","0.5673759","0.22380952380952382","3.1333333333333333","2.0","0","4.0","0.1076555","3.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","1.0","0","12.0","0.01409774","1.0","0","6.0","0.02870813","1.0","0","13.0","0.01299545","3.0","0","3.0","0"
"19","0.2297872","0.5673759","0.22380952380952382","3.1333333333333333","2.0","0","4.0","0.1043478","3.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","1.0","0","12.0","0.01355932","1.0","0","6.0","0.02758621","1.0","0","13.0","0.0125","3.0","0","3.0","0"
"20","0.2297872","0.5673759","0.22380952380952382","3.1333333333333333","2.0","0","4.0","0.1011905","3.0","0","1.0","0","4.0","0","1.0","0","5.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","1.0","0","12.0","0.01305684","1.0","0","6.0","0.02654176","1.0","0","13.0","0.01203753","3.0","0","3.0","0"
