"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.1629630","0.5333333","0.20833333333333334","1.6666666666666667","2.0","0","2.0","0.1704545","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","7.0","0.03787879","1.0","0","2.0","0"
"11","0.1629630","0.5333333","0.20833333333333334","1.6666666666666667","2.0","0","2.0","0.1715686","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","7.0","0.03691983","1.0","0","2.0","0"
"12","0.1629630","0.5333333","0.20833333333333334","1.6666666666666667","2.0","0","2.0","0.1709402","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","7.0","0.03577818","1.0","0","2.0","0"
"13","0.1629630","0.5333333","0.20833333333333334","1.6666666666666667","2.0","0","2.0","0.1691729","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","7.0","0.03456221","1.0","0","2.0","0"
"14","0.1629630","0.5333333","0.20833333333333334","1.6666666666666667","2.0","0","2.0","0.1666667","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","7.0","0.03333333","1.0","0","2.0","0"
"15","0.1629630","0.5333333","0.20833333333333334","1.6666666666666667","2.0","0","2.0","0.1636905","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","7.0","0.03212617","1.0","0","2.0","0"
"16","0.1629630","0.5333333","0.20833333333333334","1.6666666666666667","2.0","0","2.0","0.1604278","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","7.0","0.03095975","1.0","0","2.0","0"
"17","0.1629630","0.5333333","0.20833333333333334","1.6666666666666667","2.0","0","2.0","0.1570048","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","7.0","0.02984389","1.0","0","2.0","0"
"18","0.1629630","0.5333333","0.20833333333333334","1.6666666666666667","2.0","0","2.0","0.1535088","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","7.0","0.02878289","1.0","0","2.0","0"
"19","0.1629630","0.5333333","0.20833333333333334","1.6666666666666667","2.0","0","2.0","0.15","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","7.0","0.02777778","1.0","0","2.0","0"
"20","0.1629630","0.5333333","0.20833333333333334","1.6666666666666667","2.0","0","2.0","0.1465201","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","0.0","0","7.0","0.02682763","1.0","0","2.0","0"
