"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.3315508","0.4946524","0.16176470588235295","2.588235294117647","1.0","0","6.0","0.1558442","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","8.0","0","0.0","0","1.0","0","5.0","0.04195804","5.0","0","9.0","0","0.0","0","7.0","0","1.0","0","6.0","0"
"11","0.3315508","0.4946524","0.16176470588235295","2.588235294117647","1.0","0","6.0","0.15","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","8.0","0","0.0","0","1.0","0","5.0","0.03947368","5.0","0","9.0","0","0.0","0","7.0","0","1.0","0","6.0","0"
"12","0.3315508","0.4946524","0.16176470588235295","2.588235294117647","1.0","0","6.0","0.1442308","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","8.0","0","0.0","0","1.0","0","5.0","0.03722084","5.0","0","9.0","0","0.0","0","7.0","0","1.0","0","6.0","0"
"13","0.3315508","0.4946524","0.16176470588235295","2.588235294117647","1.0","0","6.0","0.1386555","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","8.0","0","0.0","0","1.0","0","5.0","0.03518124","5.0","0","9.0","0","0.0","0","7.0","0","1.0","0","6.0","0"
"14","0.3315508","0.4946524","0.16176470588235295","2.588235294117647","1.0","0","6.0","0.1333333","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","8.0","0","0.0","0","1.0","0","5.0","0.03333333","5.0","0","9.0","0","0.0","0","7.0","0","1.0","0","6.0","0"
"15","0.3315508","0.4946524","0.16176470588235295","2.588235294117647","1.0","0","6.0","0.1282895","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","8.0","0","0.0","0","1.0","0","5.0","0.03165584","5.0","0","9.0","0","0.0","0","7.0","0","1.0","0","6.0","0"
"16","0.3315508","0.4946524","0.16176470588235295","2.588235294117647","1.0","0","6.0","0.1235294","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","8.0","0","0.0","0","1.0","0","5.0","0.03012912","5.0","0","9.0","0","0.0","0","7.0","0","1.0","0","6.0","0"
"17","0.3315508","0.4946524","0.16176470588235295","2.588235294117647","1.0","0","6.0","0.1190476","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","8.0","0","0.0","0","1.0","0","5.0","0.02873563","5.0","0","9.0","0","0.0","0","7.0","0","1.0","0","6.0","0"
"18","0.3315508","0.4946524","0.16176470588235295","2.588235294117647","1.0","0","6.0","0.1148325","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","8.0","0","0.0","0","1.0","0","5.0","0.02745995","5.0","0","9.0","0","0.0","0","7.0","0","1.0","0","6.0","0"
"19","0.3315508","0.4946524","0.16176470588235295","2.588235294117647","1.0","0","6.0","0.1108696","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","8.0","0","0.0","0","1.0","0","5.0","0.02628866","5.0","0","9.0","0","0.0","0","7.0","0","1.0","0","6.0","0"
"20","0.3315508","0.4946524","0.16176470588235295","2.588235294117647","1.0","0","6.0","0.1071429","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","8.0","0","0.0","0","1.0","0","5.0","0.02521008","5.0","0","9.0","0","0.0","0","7.0","0","1.0","0","6.0","0"
