"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2083333","0.5833333","0.24242424242424243","2.6666666666666665","3.0","0","3.0","0.1704545","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","10.0","0.02597403","1.0","0","10.0","0.02597403","2.0","0","3.0","0"
"11","0.2083333","0.5833333","0.24242424242424243","2.6666666666666665","3.0","0","3.0","0.1715686","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","10.0","0.02536232","1.0","0","10.0","0.02536232","2.0","0","3.0","0"
"12","0.2083333","0.5833333","0.24242424242424243","2.6666666666666665","3.0","0","3.0","0.1709402","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","10.0","0.02461538","1.0","0","10.0","0.02461538","2.0","0","3.0","0"
"13","0.2083333","0.5833333","0.24242424242424243","2.6666666666666665","3.0","0","3.0","0.1691729","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","10.0","0.02380952","1.0","0","10.0","0.02380952","2.0","0","3.0","0"
"14","0.2083333","0.5833333","0.24242424242424243","2.6666666666666665","3.0","0","3.0","0.1666667","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","10.0","0.02298851","1.0","0","10.0","0.02298851","2.0","0","3.0","0"
"15","0.2083333","0.5833333","0.24242424242424243","2.6666666666666665","3.0","0","3.0","0.1636905","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","10.0","0.02217742","1.0","0","10.0","0.02217742","2.0","0","3.0","0"
"16","0.2083333","0.5833333","0.24242424242424243","2.6666666666666665","3.0","0","3.0","0.1604278","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","10.0","0.02139037","1.0","0","10.0","0.02139037","2.0","0","3.0","0"
"17","0.2083333","0.5833333","0.24242424242424243","2.6666666666666665","3.0","0","3.0","0.1570048","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","10.0","0.02063492","1.0","0","10.0","0.02063492","2.0","0","3.0","0"
"18","0.2083333","0.5833333","0.24242424242424243","2.6666666666666665","3.0","0","3.0","0.1535088","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","10.0","0.01991465","1.0","0","10.0","0.01991465","2.0","0","3.0","0"
"19","0.2083333","0.5833333","0.24242424242424243","2.6666666666666665","3.0","0","3.0","0.15","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","10.0","0.01923077","1.0","0","10.0","0.01923077","2.0","0","3.0","0"
"20","0.2083333","0.5833333","0.24242424242424243","2.6666666666666665","3.0","0","3.0","0.1465201","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","0.0","0","0.0","0","10.0","0.01858304","1.0","0","10.0","0.01858304","2.0","0","3.0","0"
