"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2309524","0.5595238","0.26515151515151514","2.9166666666666665","4.0","0","3.0","0.1704545","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","5.0","0","0.0","0","1.0","0","9.0","0.02901354","1.0","0","5.0","0.05454545","1.0","0","10.0","0.02597403","3.0","0","3.0","0"
"11","0.2309524","0.5595238","0.26515151515151514","2.9166666666666665","4.0","0","3.0","0.1715686","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","5.0","0","0.0","0","1.0","0","9.0","0.02831715","1.0","0","5.0","0.05303030","1.0","0","10.0","0.02536232","3.0","0","3.0","0"
"12","0.2309524","0.5595238","0.26515151515151514","2.9166666666666665","4.0","0","3.0","0.1709402","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","5.0","0","0.0","0","1.0","0","9.0","0.02747253","1.0","0","5.0","0.05128205","1.0","0","10.0","0.02461538","3.0","0","3.0","0"
"13","0.2309524","0.5595238","0.26515151515151514","2.9166666666666665","4.0","0","3.0","0.1691729","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","5.0","0","0.0","0","1.0","0","9.0","0.02656434","1.0","0","5.0","0.04945055","1.0","0","10.0","0.02380952","3.0","0","3.0","0"
"14","0.2309524","0.5595238","0.26515151515151514","2.9166666666666665","4.0","0","3.0","0.1666667","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","5.0","0","0.0","0","1.0","0","9.0","0.02564103","1.0","0","5.0","0.04761905","1.0","0","10.0","0.02298851","3.0","0","3.0","0"
"15","0.2309524","0.5595238","0.26515151515151514","2.9166666666666665","4.0","0","3.0","0.1636905","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","5.0","0","0.0","0","1.0","0","9.0","0.02473022","1.0","0","5.0","0.04583333","1.0","0","10.0","0.02217742","3.0","0","3.0","0"
"16","0.2309524","0.5595238","0.26515151515151514","2.9166666666666665","4.0","0","3.0","0.1604278","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","5.0","0","0.0","0","1.0","0","9.0","0.02384738","1.0","0","5.0","0.04411765","1.0","0","10.0","0.02139037","3.0","0","3.0","0"
"17","0.2309524","0.5595238","0.26515151515151514","2.9166666666666665","4.0","0","3.0","0.1570048","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","5.0","0","0.0","0","1.0","0","9.0","0.02300071","1.0","0","5.0","0.04248366","1.0","0","10.0","0.02063492","3.0","0","3.0","0"
"18","0.2309524","0.5595238","0.26515151515151514","2.9166666666666665","4.0","0","3.0","0.1535088","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","5.0","0","0.0","0","1.0","0","9.0","0.02219404","1.0","0","5.0","0.04093567","1.0","0","10.0","0.01991465","3.0","0","3.0","0"
"19","0.2309524","0.5595238","0.26515151515151514","2.9166666666666665","4.0","0","3.0","0.15","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","5.0","0","0.0","0","1.0","0","9.0","0.02142857","1.0","0","5.0","0.03947368","1.0","0","10.0","0.01923077","3.0","0","3.0","0"
"20","0.2309524","0.5595238","0.26515151515151514","2.9166666666666665","4.0","0","3.0","0.1465201","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","5.0","0","0.0","0","1.0","0","9.0","0.02070393","1.0","0","5.0","0.03809524","1.0","0","10.0","0.01858304","3.0","0","3.0","0"
