"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2802198","0.6593407","0.1794871794871795","2.1538461538461537","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","4.0","0.1704545","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","5.0","0","1.0","0","2.0","0","0.0","0","1.0","0","10.0","0.02597403","0.0","0","6.0","0.04470939","2.0","0","4.0","0"
"11","0.2802198","0.6593407","0.1794871794871795","2.1538461538461537","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","4.0","0.1715686","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","5.0","0","1.0","0","2.0","0","0.0","0","1.0","0","10.0","0.02536232","0.0","0","6.0","0.04353234","2.0","0","4.0","0"
"12","0.2802198","0.6593407","0.1794871794871795","2.1538461538461537","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","4.0","0.1709402","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","5.0","0","1.0","0","2.0","0","0.0","0","1.0","0","10.0","0.02461538","0.0","0","6.0","0.04214963","2.0","0","4.0","0"
"13","0.2802198","0.6593407","0.1794871794871795","2.1538461538461537","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","4.0","0.1691729","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","5.0","0","1.0","0","2.0","0","0.0","0","1.0","0","10.0","0.02380952","0.0","0","6.0","0.04068716","2.0","0","4.0","0"
"14","0.2802198","0.6593407","0.1794871794871795","2.1538461538461537","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","4.0","0.1666667","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","5.0","0","1.0","0","2.0","0","0.0","0","1.0","0","10.0","0.02298851","0.0","0","6.0","0.03921569","2.0","0","4.0","0"
"15","0.2802198","0.6593407","0.1794871794871795","2.1538461538461537","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","4.0","0.1636905","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","5.0","0","1.0","0","2.0","0","0.0","0","1.0","0","10.0","0.02217742","0.0","0","6.0","0.03777473","2.0","0","4.0","0"
"16","0.2802198","0.6593407","0.1794871794871795","2.1538461538461537","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","4.0","0.1604278","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","5.0","0","1.0","0","2.0","0","0.0","0","1.0","0","10.0","0.02139037","0.0","0","6.0","0.03638569","2.0","0","4.0","0"
"17","0.2802198","0.6593407","0.1794871794871795","2.1538461538461537","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","4.0","0.1570048","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","5.0","0","1.0","0","2.0","0","0.0","0","1.0","0","10.0","0.02063492","0.0","0","6.0","0.03505933","2.0","0","4.0","0"
"18","0.2802198","0.6593407","0.1794871794871795","2.1538461538461537","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","4.0","0.1535088","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","5.0","0","1.0","0","2.0","0","0.0","0","1.0","0","10.0","0.01991465","0.0","0","6.0","0.03380010","2.0","0","4.0","0"
"19","0.2802198","0.6593407","0.1794871794871795","2.1538461538461537","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","4.0","0.15","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","5.0","0","1.0","0","2.0","0","0.0","0","1.0","0","10.0","0.01923077","0.0","0","6.0","0.03260870","2.0","0","4.0","0"
"20","0.2802198","0.6593407","0.1794871794871795","2.1538461538461537","2.0","0","0.0","0","2.0","0","1.0","0","1.0","0","4.0","0.1465201","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","5.0","0","1.0","0","2.0","0","0.0","0","1.0","0","10.0","0.01858304","0.0","0","6.0","0.03148367","2.0","0","4.0","0"
