"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","RD10-ADS","RD10-GINI -ADS","RD10-AIS","RD10-GINI -AIS","RD11-ADS","RD11-GINI -ADS","RD11-AIS","RD11-GINI -AIS","RD12-ADS","RD12-GINI -ADS","RD12-AIS","RD12-GINI -AIS","RD13-ADS","RD13-GINI -ADS","RD13-AIS","RD13-GINI -AIS","RD14-ADS","RD14-GINI -ADS","RD14-AIS","RD14-GINI -AIS","RD15-ADS","RD15-GINI -ADS","RD15-AIS","RD15-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.309375","0.5609375","0.16842105263157894","3.2","3.0","0","1.0","0","4.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0.1118881","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","1.0","0","8.0","0.02566845","14.0","0","10.0","0","1.0","0","8.0","0.02566845","1.0","0","17.0","0.01185771","3.0","0","2.0","0"
"11","0.309375","0.5609375","0.16842105263157894","3.2","3.0","0","1.0","0","4.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0.1071429","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","1.0","0","8.0","0.02419355","14.0","0","10.0","0","1.0","0","8.0","0.02419355","1.0","0","17.0","0.01119403","3.0","0","2.0","0"
"12","0.309375","0.5609375","0.16842105263157894","3.2","3.0","0","1.0","0","4.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0.1025641","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","1.0","0","8.0","0.02284844","14.0","0","10.0","0","1.0","0","8.0","0.02284844","1.0","0","17.0","0.01058574","3.0","0","2.0","0"
"13","0.309375","0.5609375","0.16842105263157894","3.2","3.0","0","1.0","0","4.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0.09821429","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","1.0","0","8.0","0.02162516","14.0","0","10.0","0","1.0","0","8.0","0.02162516","1.0","0","17.0","0.01003040","3.0","0","2.0","0"
"14","0.309375","0.5609375","0.16842105263157894","3.2","3.0","0","1.0","0","4.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0.09411765","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","1.0","0","8.0","0.02051282","14.0","0","10.0","0","1.0","0","8.0","0.02051282","1.0","0","17.0","0.009523810","3.0","0","2.0","0"
"15","0.309375","0.5609375","0.16842105263157894","3.2","3.0","0","1.0","0","4.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0.09027778","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","1.0","0","8.0","0.0195","14.0","0","10.0","0","1.0","0","8.0","0.0195","1.0","0","17.0","0.009061338","3.0","0","2.0","0"
"16","0.309375","0.5609375","0.16842105263157894","3.2","3.0","0","1.0","0","4.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0.08668731","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","1.0","0","8.0","0.01857585","14.0","0","10.0","0","1.0","0","8.0","0.01857585","1.0","0","17.0","0.008638420","3.0","0","2.0","0"
"17","0.309375","0.5609375","0.16842105263157894","3.2","3.0","0","1.0","0","4.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0.08333333","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","1.0","0","8.0","0.01773050","14.0","0","10.0","0","1.0","0","8.0","0.01773050","1.0","0","17.0","0.008250825","3.0","0","2.0","0"
"18","0.309375","0.5609375","0.16842105263157894","3.2","3.0","0","1.0","0","4.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0.08020050","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","1.0","0","8.0","0.01695514","14.0","0","10.0","0","1.0","0","8.0","0.01695514","1.0","0","17.0","0.007894737","3.0","0","2.0","0"
"19","0.309375","0.5609375","0.16842105263157894","3.2","3.0","0","1.0","0","4.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0.07727273","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","1.0","0","8.0","0.01624204","14.0","0","10.0","0","1.0","0","8.0","0.01624204","1.0","0","17.0","0.007566766","3.0","0","2.0","0"
"20","0.309375","0.5609375","0.16842105263157894","3.2","3.0","0","1.0","0","4.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0.07453416","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","1.0","0","8.0","0.01558442","14.0","0","10.0","0","1.0","0","8.0","0.01558442","1.0","0","17.0","0.007263923","3.0","0","2.0","0"
