"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2173913","0.5625","0.19166666666666668","2.875","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","3.0","0.1558442","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0.02566845","7.0","0","5.0","0","1.0","0","6.0","0","1.0","0","13.0","0.01558442","2.0","0","3.0","0"
"11","0.2173913","0.5625","0.19166666666666668","2.875","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","3.0","0.15","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0.02419355","7.0","0","5.0","0","1.0","0","6.0","0","1.0","0","13.0","0.01470588","2.0","0","3.0","0"
"12","0.2173913","0.5625","0.19166666666666668","2.875","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","3.0","0.1442308","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0.02284844","7.0","0","5.0","0","1.0","0","6.0","0","1.0","0","13.0","0.01390176","2.0","0","3.0","0"
"13","0.2173913","0.5625","0.19166666666666668","2.875","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","3.0","0.1386555","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0.02162516","7.0","0","5.0","0","1.0","0","6.0","0","1.0","0","13.0","0.01316840","2.0","0","3.0","0"
"14","0.2173913","0.5625","0.19166666666666668","2.875","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","3.0","0.1333333","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0.02051282","7.0","0","5.0","0","1.0","0","6.0","0","1.0","0","13.0","0.0125","2.0","0","3.0","0"
"15","0.2173913","0.5625","0.19166666666666668","2.875","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","3.0","0.1282895","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0.0195","7.0","0","5.0","0","1.0","0","6.0","0","1.0","0","13.0","0.01189024","2.0","0","3.0","0"
"16","0.2173913","0.5625","0.19166666666666668","2.875","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","3.0","0.1235294","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0.01857585","7.0","0","5.0","0","1.0","0","6.0","0","1.0","0","13.0","0.01133297","2.0","0","3.0","0"
"17","0.2173913","0.5625","0.19166666666666668","2.875","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","3.0","0.1190476","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0.01773050","7.0","0","5.0","0","1.0","0","6.0","0","1.0","0","13.0","0.01082251","2.0","0","3.0","0"
"18","0.2173913","0.5625","0.19166666666666668","2.875","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","3.0","0.1148325","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0.01695514","7.0","0","5.0","0","1.0","0","6.0","0","1.0","0","13.0","0.01035375","2.0","0","3.0","0"
"19","0.2173913","0.5625","0.19166666666666668","2.875","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","3.0","0.1108696","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0.01624204","7.0","0","5.0","0","1.0","0","6.0","0","1.0","0","13.0","0.009922179","2.0","0","3.0","0"
"20","0.2173913","0.5625","0.19166666666666668","2.875","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","3.0","0.1071429","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","1.0","0","8.0","0.01558442","7.0","0","5.0","0","1.0","0","6.0","0","1.0","0","13.0","0.009523810","2.0","0","3.0","0"
