"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2548148","0.5777778","0.21428571428571427","3.0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0.1118881","4.0","0","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","5.0","0","0.0","0","1.0","0","12.0","0.01691332","1.0","0","6.0","0.03463203","1.0","0","12.0","0","2.0","0","2.0","0"
"11","0.2548148","0.5777778","0.21428571428571427","3.0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0.1071429","4.0","0","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","5.0","0","0.0","0","1.0","0","12.0","0.01595745","1.0","0","6.0","0.03260870","1.0","0","12.0","0","2.0","0","2.0","0"
"12","0.2548148","0.5777778","0.21428571428571427","3.0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0.1025641","4.0","0","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","5.0","0","0.0","0","1.0","0","12.0","0.01508296","1.0","0","6.0","0.03076923","1.0","0","12.0","0","2.0","0","2.0","0"
"13","0.2548148","0.5777778","0.21428571428571427","3.0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0.09821429","4.0","0","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","5.0","0","0.0","0","1.0","0","12.0","0.01428571","1.0","0","6.0","0.02910053","1.0","0","12.0","0","2.0","0","2.0","0"
"14","0.2548148","0.5777778","0.21428571428571427","3.0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0.09411765","4.0","0","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","5.0","0","0.0","0","1.0","0","12.0","0.01355932","1.0","0","6.0","0.02758621","1.0","0","12.0","0","2.0","0","2.0","0"
"15","0.2548148","0.5777778","0.21428571428571427","3.0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0.09027778","4.0","0","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","5.0","0","0.0","0","1.0","0","12.0","0.01289683","1.0","0","6.0","0.02620968","1.0","0","12.0","0","2.0","0","2.0","0"
"16","0.2548148","0.5777778","0.21428571428571427","3.0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0.08668731","4.0","0","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","5.0","0","0.0","0","1.0","0","12.0","0.01229148","1.0","0","6.0","0.02495544","1.0","0","12.0","0","2.0","0","2.0","0"
"17","0.2548148","0.5777778","0.21428571428571427","3.0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0.08333333","4.0","0","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","5.0","0","0.0","0","1.0","0","12.0","0.01173709","1.0","0","6.0","0.02380952","1.0","0","12.0","0","2.0","0","2.0","0"
"18","0.2548148","0.5777778","0.21428571428571427","3.0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0.08020050","4.0","0","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","5.0","0","0.0","0","1.0","0","12.0","0.01122807","1.0","0","6.0","0.02275960","1.0","0","12.0","0","2.0","0","2.0","0"
"19","0.2548148","0.5777778","0.21428571428571427","3.0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0.07727273","4.0","0","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","5.0","0","0.0","0","1.0","0","12.0","0.01075949","1.0","0","6.0","0.02179487","1.0","0","12.0","0","2.0","0","2.0","0"
"20","0.2548148","0.5777778","0.21428571428571427","3.0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","3.0","0.07453416","4.0","0","2.0","0","4.0","0","1.0","0","5.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","5.0","0","0.0","0","1.0","0","12.0","0.01032702","1.0","0","6.0","0.02090592","1.0","0","12.0","0","2.0","0","2.0","0"
