"release","RD1-ADS","RD1-AIS","RD1-ACS","RD1-RCS","RD1-RIS","RD2-ADS","RD2-AIS","RD2-ACS","RD2-RCS","RD2-RIS","RD3-ADS","RD3-AIS","RD3-ACS","RD3-RCS","RD3-RIS","RD4-ADS","RD4-AIS","RD4-ACS","RD4-RCS","RD4-RIS","RD5-ADS","RD5-AIS","RD5-ACS","RD5-RCS","RD5-RIS","RD6-ADS","RD6-AIS","RD6-ACS","RD6-RCS","RD6-RIS","RD7-ADS","RD7-AIS","RD7-ACS","RD7-RCS","RD7-RIS","RD8-ADS","RD8-AIS","RD8-ACS","RD8-RCS","RD8-RIS","RD9-ADS","RD9-AIS","RD9-ACS","RD9-RCS","RD9-RIS","RD10-ADS","RD10-AIS","RD10-ACS","RD10-RCS","RD10-RIS","RD11-ADS","RD11-AIS","RD11-ACS","RD11-RCS","RD11-RIS","RD12-ADS","RD12-AIS","RD12-ACS","RD12-RCS","RD12-RIS","RD13-ADS","RD13-AIS","RD13-ACS","RD13-RCS","RD13-RIS","RD14-ADS","RD14-AIS","RD14-ACS","RD14-RCS","RD14-RIS","RD15-ADS","RD15-AIS","RD15-ACS","RD15-RCS","RD15-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS","MSV6-ADS","MSV6-AIS","MSV6-ACS","MSV6-RCS","MSV6-RIS","MSV7-ADS","MSV7-AIS","MSV7-ACS","MSV7-RCS","MSV7-RIS","MSV8-ADS","MSV8-AIS","MSV8-ACS","MSV8-RCS","MSV8-RIS"
"11","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","1.0","3.0","3.0","0.047619047619047616","0.14285714285714285","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","8.0","2.0","16.0","0.38095238095238093","0.09523809523809523","6.0","2.0","12.0","0.2857142857142857","0.09523809523809523","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","1.0","0.0","0.0","0.047619047619047616","0.0","1.0","9.0","9.0","0.047619047619047616","0.42857142857142855","10.0","9.0","90.0","0.47619047619047616","0.42857142857142855","0.0","8.0","0.0","0.0","0.38095238095238093","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","1.0","3.0","3.0","0.047619047619047616","0.14285714285714285","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","8.0","2.0","16.0","0.38095238095238093","0.09523809523809523","6.0","2.0","12.0","0.2857142857142857","0.09523809523809523","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","1.0","0.0","0.0","0.047619047619047616","0.0","1.0","9.0","9.0","0.047619047619047616","0.42857142857142855","10.0","9.0","90.0","0.47619047619047616","0.42857142857142855","0.0","8.0","0.0","0.0","0.38095238095238093","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","1.0","3.0","3.0","0.047619047619047616","0.14285714285714285","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","8.0","2.0","16.0","0.38095238095238093","0.09523809523809523","6.0","2.0","12.0","0.2857142857142857","0.09523809523809523","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","2.0","2.0","4.0","0.09523809523809523","0.09523809523809523","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","3.0","2.0","6.0","0.14285714285714285","0.09523809523809523","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","2.0","1.0","2.0","0.09523809523809523","0.047619047619047616","1.0","0.0","0.0","0.047619047619047616","0.0","1.0","9.0","9.0","0.047619047619047616","0.42857142857142855","10.0","9.0","90.0","0.47619047619047616","0.42857142857142855","0.0","8.0","0.0","0.0","0.38095238095238093","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","1.0","1.0","1.0","0.047619047619047616","0.047619047619047616","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","2.0","2.0","4.0","0.09090909090909091","0.09090909090909091","1.0","3.0","3.0","0.045454545454545456","0.13636363636363635","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","9.0","2.0","18.0","0.4090909090909091","0.09090909090909091","6.0","2.0","12.0","0.2727272727272727","0.09090909090909091","2.0","2.0","4.0","0.09090909090909091","0.09090909090909091","3.0","2.0","6.0","0.13636363636363635","0.09090909090909091","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","2.0","4.0","0.09090909090909091","0.09090909090909091","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","3.0","2.0","6.0","0.13636363636363635","0.09090909090909091","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","2.0","1.0","2.0","0.09090909090909091","0.045454545454545456","1.0","0.0","0.0","0.045454545454545456","0.0","1.0","10.0","10.0","0.045454545454545456","0.45454545454545453","10.0","9.0","90.0","0.45454545454545453","0.4090909090909091","0.0","8.0","0.0","0.0","0.36363636363636365","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","1.0","1.0","1.0","0.045454545454545456","0.045454545454545456","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","1.0","3.0","3.0","0.043478260869565216","0.13043478260869565","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","10.0","2.0","20.0","0.43478260869565216","0.08695652173913043","6.0","2.0","12.0","0.2608695652173913","0.08695652173913043","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","2.0","4.0","0.08695652173913043","0.08695652173913043","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","3.0","2.0","6.0","0.13043478260869565","0.08695652173913043","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","2.0","1.0","2.0","0.08695652173913043","0.043478260869565216","1.0","0.0","0.0","0.043478260869565216","0.0","1.0","11.0","11.0","0.043478260869565216","0.4782608695652174","10.0","9.0","90.0","0.43478260869565216","0.391304347826087","0.0","8.0","0.0","0.0","0.34782608695652173","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","1.0","1.0","1.0","0.043478260869565216","0.043478260869565216","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","1.0","3.0","3.0","0.041666666666666664","0.125","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","11.0","2.0","22.0","0.4583333333333333","0.08333333333333333","6.0","2.0","12.0","0.25","0.08333333333333333","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","3.0","2.0","6.0","0.125","0.08333333333333333","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","3.0","2.0","6.0","0.125","0.08333333333333333","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","1.0","0.0","0.0","0.041666666666666664","0.0","1.0","12.0","12.0","0.041666666666666664","0.5","10.0","9.0","90.0","0.4166666666666667","0.375","0.0","8.0","0.0","0.0","0.3333333333333333","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","1.0","3.0","3.0","0.041666666666666664","0.125","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","11.0","2.0","22.0","0.4583333333333333","0.08333333333333333","6.0","2.0","12.0","0.25","0.08333333333333333","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","3.0","2.0","6.0","0.125","0.08333333333333333","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","3.0","2.0","6.0","0.125","0.08333333333333333","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","1.0","0.0","0.0","0.041666666666666664","0.0","1.0","12.0","12.0","0.041666666666666664","0.5","10.0","9.0","90.0","0.4166666666666667","0.375","0.0","8.0","0.0","0.0","0.3333333333333333","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","1.0","3.0","3.0","0.041666666666666664","0.125","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","11.0","2.0","22.0","0.4583333333333333","0.08333333333333333","6.0","2.0","12.0","0.25","0.08333333333333333","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","3.0","2.0","6.0","0.125","0.08333333333333333","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","3.0","2.0","6.0","0.125","0.08333333333333333","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","1.0","0.0","0.0","0.041666666666666664","0.0","1.0","12.0","12.0","0.041666666666666664","0.5","10.0","9.0","90.0","0.4166666666666667","0.375","0.0","8.0","0.0","0.0","0.3333333333333333","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","1.0","3.0","3.0","0.041666666666666664","0.125","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","11.0","2.0","22.0","0.4583333333333333","0.08333333333333333","6.0","2.0","12.0","0.25","0.08333333333333333","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","3.0","2.0","6.0","0.125","0.08333333333333333","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","2.0","4.0","0.08333333333333333","0.08333333333333333","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","3.0","2.0","6.0","0.125","0.08333333333333333","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","2.0","1.0","2.0","0.08333333333333333","0.041666666666666664","1.0","0.0","0.0","0.041666666666666664","0.0","1.0","12.0","12.0","0.041666666666666664","0.5","10.0","9.0","90.0","0.4166666666666667","0.375","0.0","8.0","0.0","0.0","0.3333333333333333","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","1.0","1.0","1.0","0.041666666666666664","0.041666666666666664","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"20","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","1.0","3.0","3.0","0.038461538461538464","0.11538461538461539","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","13.0","2.0","26.0","0.5","0.07692307692307693","6.0","2.0","12.0","0.23076923076923078","0.07692307692307693","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","2.0","4.0","0.07692307692307693","0.07692307692307693","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","3.0","2.0","6.0","0.11538461538461539","0.07692307692307693","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","1.0","0.0","0.0","0.038461538461538464","0.0","1.0","14.0","14.0","0.038461538461538464","0.5384615384615384","10.0","9.0","90.0","0.38461538461538464","0.34615384615384615","0.0","9.0","0.0","0.0","0.34615384615384615","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","2.0","1.0","2.0","0.07692307692307693","0.038461538461538464","1.0","1.0","1.0","0.038461538461538464","0.038461538461538464","0.0","0.0","0.0","0.0","0.0"
"21","2.0","2.0","4.0","0.07407407407407407","0.07407407407407407","1.0","3.0","3.0","0.037037037037037035","0.1111111111111111","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","14.0","2.0","28.0","0.5185185185185185","0.07407407407407407","6.0","2.0","12.0","0.2222222222222222","0.07407407407407407","2.0","2.0","4.0","0.07407407407407407","0.07407407407407407","3.0","2.0","6.0","0.1111111111111111","0.07407407407407407","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","2.0","2.0","4.0","0.07407407407407407","0.07407407407407407","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","3.0","2.0","6.0","0.1111111111111111","0.07407407407407407","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","1.0","0.0","0.0","0.037037037037037035","0.0","1.0","15.0","15.0","0.037037037037037035","0.5555555555555556","10.0","9.0","90.0","0.37037037037037035","0.3333333333333333","0.0","9.0","0.0","0.0","0.3333333333333333","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","2.0","1.0","2.0","0.07407407407407407","0.037037037037037035","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035","1.0","1.0","1.0","0.037037037037037035","0.037037037037037035"
