"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","BA15-ADS","BA15-GINI -ADS","BA15-AIS","BA15-GINI -AIS","BA16-ADS","BA16-GINI -ADS","BA16-AIS","BA16-GINI -AIS","BA18-ADS","BA18-GINI -ADS","BA18-AIS","BA18-GINI -AIS","BA19-ADS","BA19-GINI -ADS","BA19-AIS","BA19-GINI -AIS","BA20-ADS","BA20-GINI -ADS","BA20-AIS","BA20-GINI -AIS","BA22-ADS","BA22-GINI -ADS","BA22-AIS","BA22-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS"
"10","0.1570248","0.7575758","0.14285714285714285","3.0","4.0","0.2233766","6.0","0.03636364","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0.1704545","3.0","0","0.0","0","3.0","0","1.0","0.1704545","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","20.0","0.04314330","1.0","0","7.0","0.08580184","1.0","0","20.0","0.04314330"
"11","0.1570248","0.7575758","0.14285714285714285","3.0","4.0","0.2229730","6.0","0.03508772","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0.1715686","3.0","0","0.0","0","3.0","0","1.0","0.1715686","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","20.0","0.04166667","1.0","0","7.0","0.08333333","1.0","0","20.0","0.04166667"
"12","0.1570248","0.7575758","0.14285714285714285","3.0","4.0","0.2209073","6.0","0.03377111","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0.1709402","3.0","0","0.0","0","3.0","0","1.0","0.1709402","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","20.0","0.04013378","1.0","0","7.0","0.08065721","1.0","0","20.0","0.04013378"
"13","0.1570248","0.7575758","0.14285714285714285","3.0","4.0","0.2177700","6.0","0.03246753","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0.1691729","3.0","0","0.0","0","3.0","0","1.0","0.1691729","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","20.0","0.03861004","1.0","0","7.0","0.07792208","1.0","0","20.0","0.03861004"
"14","0.1570248","0.7575758","0.14285714285714285","3.0","4.0","0.2139535","6.0","0.03120567","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0.1666667","3.0","0","0.0","0","3.0","0","1.0","0.1666667","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","20.0","0.03713080","1.0","0","7.0","0.07521368","1.0","0","20.0","0.03713080"
"15","0.1570248","0.7575758","0.14285714285714285","3.0","4.0","0.2097222","6.0","0.03","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0.1636905","3.0","0","0.0","0","3.0","0","1.0","0.1636905","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","20.0","0.03571429","1.0","0","7.0","0.07258065","1.0","0","20.0","0.03571429"
"16","0.1570248","0.7575758","0.14285714285714285","3.0","4.0","0.2052566","6.0","0.02885683","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0.1604278","3.0","0","0.0","0","3.0","0","1.0","0.1604278","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","20.0","0.03436880","1.0","0","7.0","0.07004939","1.0","0","20.0","0.03436880"
"17","0.1570248","0.7575758","0.14285714285714285","3.0","4.0","0.2006803","6.0","0.02777778","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0.1570048","3.0","0","0.0","0","3.0","0","1.0","0.1570048","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","20.0","0.03309693","1.0","0","7.0","0.06763285","1.0","0","20.0","0.03309693"
"18","0.1570248","0.7575758","0.14285714285714285","3.0","4.0","0.1960784","6.0","0.02676182","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0.1535088","3.0","0","0.0","0","3.0","0","1.0","0.1535088","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","20.0","0.03189793","1.0","0","7.0","0.06533575","1.0","0","20.0","0.03189793"
"19","0.1570248","0.7575758","0.14285714285714285","3.0","4.0","0.1915094","6.0","0.02580645","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0.15","3.0","0","0.0","0","3.0","0","1.0","0.15","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","20.0","0.03076923","1.0","0","7.0","0.06315789","1.0","0","20.0","0.03076923"
"20","0.1570248","0.7575758","0.14285714285714285","3.0","4.0","0.1870130","6.0","0.02490842","3.0","0","3.0","0","3.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","2.0","0","3.0","0","1.0","0.1465201","3.0","0","0.0","0","3.0","0","1.0","0.1465201","3.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","6.0","0","0.0","0","1.0","0","20.0","0.02970730","1.0","0","7.0","0.06109614","1.0","0","20.0","0.02970730"
