"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.3285714","0.4714286","0.23333333333333334","2.1","2.0","0","2.0","0.1148325","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","1.0","0","0.0","0","1.0","0","7.0","0.03162055","0.0","0","5.0","0.04642166","2.0","0","2.0","0"
"11","0.3285714","0.4714286","0.23333333333333334","2.1","2.0","0","2.0","0.1333333","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","1.0","0","0.0","0","1.0","0","7.0","0.03508772","0.0","0","5.0","0.05128205","2.0","0","2.0","0"
"12","0.3285714","0.4714286","0.23333333333333334","2.1","2.0","0","2.0","0.1465201","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","1.0","0","0.0","0","1.0","0","7.0","0.03707136","0.0","0","5.0","0.05398111","2.0","0","2.0","0"
"13","0.3285714","0.4714286","0.23333333333333334","2.1","2.0","0","2.0","0.1558442","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","1.0","0","0.0","0","1.0","0","7.0","0.03809524","0.0","0","5.0","0.05529954","2.0","0","2.0","0"
"14","0.3285714","0.4714286","0.23333333333333334","2.1","2.0","0","2.0","0.1623188","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","1.0","0","0.0","0","1.0","0","7.0","0.03848797","0.0","0","5.0","0.05572139","2.0","0","2.0","0"
"15","0.3285714","0.4714286","0.23333333333333334","2.1","2.0","0","2.0","0.1666667","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","1.0","0","0.0","0","1.0","0","7.0","0.03846154","0.0","0","5.0","0.05555556","2.0","0","2.0","0"
"16","0.3285714","0.4714286","0.23333333333333334","2.1","2.0","0","2.0","0.1694118","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","1.0","0","0.0","0","1.0","0","7.0","0.03815580","0.0","0","5.0","0.05500382","2.0","0","2.0","0"
"17","0.3285714","0.4714286","0.23333333333333334","2.1","2.0","0","2.0","0.1709402","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","1.0","0","0.0","0","1.0","0","7.0","0.03766478","0.0","0","5.0","0.05420054","2.0","0","2.0","0"
"18","0.3285714","0.4714286","0.23333333333333334","2.1","2.0","0","2.0","0.1715400","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","1.0","0","0.0","0","1.0","0","7.0","0.03705263","0.0","0","5.0","0.05323654","2.0","0","2.0","0"
"19","0.3285714","0.4714286","0.23333333333333334","2.1","2.0","0","2.0","0.1714286","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","1.0","0","0.0","0","1.0","0","7.0","0.03636364","0.0","0","5.0","0.05217391","2.0","0","2.0","0"
"20","0.3285714","0.4714286","0.23333333333333334","2.1","2.0","0","2.0","0.1707718","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","5.0","0","1.0","0","1.0","0","0.0","0","1.0","0","7.0","0.03562864","0.0","0","5.0","0.05105547","2.0","0","2.0","0"
