"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS"
"11","4.0","3.0","12.0","0.5714285714285714","0.42857142857142855","3.0","0.0","0.0","0.42857142857142855","0.0","2.0","0.0","0.0","0.2857142857142857","0.0","0.0","5.0","0.0","0.0","0.7142857142857143","1.0","5.0","5.0","0.14285714285714285","0.7142857142857143","0.0","0.0","0.0","0.0","0.0"
"12","4.0","3.0","12.0","0.5714285714285714","0.42857142857142855","3.0","0.0","0.0","0.42857142857142855","0.0","2.0","0.0","0.0","0.2857142857142857","0.0","0.0","5.0","0.0","0.0","0.7142857142857143","1.0","5.0","5.0","0.14285714285714285","0.7142857142857143","0.0","0.0","0.0","0.0","0.0"
"13","4.0","3.0","12.0","0.5714285714285714","0.42857142857142855","3.0","0.0","0.0","0.42857142857142855","0.0","2.0","0.0","0.0","0.2857142857142857","0.0","0.0","5.0","0.0","0.0","0.7142857142857143","1.0","5.0","5.0","0.14285714285714285","0.7142857142857143","0.0","0.0","0.0","0.0","0.0"
"14","2.0","2.0","4.0","0.4","0.4","3.0","0.0","0.0","0.6","0.0","2.0","0.0","0.0","0.4","0.0","0.0","3.0","0.0","0.0","0.6","1.0","3.0","3.0","0.2","0.6","0.0","0.0","0.0","0.0","0.0"
"15","2.0","2.0","4.0","0.4","0.4","3.0","0.0","0.0","0.6","0.0","2.0","0.0","0.0","0.4","0.0","0.0","3.0","0.0","0.0","0.6","1.0","3.0","3.0","0.2","0.6","0.0","0.0","0.0","0.0","0.0"
"16","2.0","2.0","4.0","0.4","0.4","3.0","0.0","0.0","0.6","0.0","2.0","0.0","0.0","0.4","0.0","0.0","3.0","0.0","0.0","0.6","1.0","3.0","3.0","0.2","0.6","0.0","0.0","0.0","0.0","0.0"
"17","2.0","2.0","4.0","0.4","0.4","3.0","0.0","0.0","0.6","0.0","2.0","0.0","0.0","0.4","0.0","0.0","3.0","0.0","0.0","0.6","1.0","3.0","3.0","0.2","0.6","0.0","0.0","0.0","0.0","0.0"
"18","2.0","2.0","4.0","0.4","0.4","3.0","0.0","0.0","0.6","0.0","2.0","0.0","0.0","0.4","0.0","0.0","3.0","0.0","0.0","0.6","1.0","3.0","3.0","0.2","0.6","0.0","0.0","0.0","0.0","0.0"
"19","2.0","2.0","4.0","0.4","0.4","3.0","0.0","0.0","0.6","0.0","2.0","0.0","0.0","0.4","0.0","0.0","3.0","0.0","0.0","0.6","1.0","3.0","3.0","0.2","0.6","0.0","0.0","0.0","0.0","0.0"
"20","2.0","2.0","4.0","0.4","0.4","3.0","0.0","0.0","0.6","0.0","2.0","0.0","0.0","0.4","0.0","0.0","3.0","0.0","0.0","0.6","1.0","3.0","3.0","0.2","0.6","0.0","0.0","0.0","0.0","0.0"
"21","2.0","2.0","4.0","0.3333333333333333","0.3333333333333333","3.0","0.0","0.0","0.5","0.0","3.0","0.0","0.0","0.5","0.0","0.0","4.0","0.0","0.0","0.6666666666666666","1.0","4.0","4.0","0.16666666666666666","0.6666666666666666","2.0","1.0","2.0","0.3333333333333333","0.16666666666666666"
