"release","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS","MSV5-ADS","MSV5-AIS","MSV5-ACS","MSV5-RCS","MSV5-RIS"
"12","3.0","3.0","9.0","0.3333333333333333","0.3333333333333333","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","4.0","1.0","4.0","0.4444444444444444","0.1111111111111111","5.0","0.0","0.0","0.5555555555555556","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","3.0","3.0","9.0","0.3333333333333333","0.3333333333333333","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","4.0","1.0","4.0","0.4444444444444444","0.1111111111111111","5.0","0.0","0.0","0.5555555555555556","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","3.0","3.0","9.0","0.3333333333333333","0.3333333333333333","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","2.0","6.0","0.3333333333333333","0.2222222222222222","4.0","1.0","4.0","0.4444444444444444","0.1111111111111111","5.0","0.0","0.0","0.5555555555555556","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","1.0","4.0","4.0","0.1111111111111111","0.4444444444444444","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","3.0","3.0","9.0","0.3","0.3","3.0","1.0","3.0","0.3","0.1","3.0","2.0","6.0","0.3","0.2","4.0","1.0","4.0","0.4","0.1","6.0","1.0","6.0","0.6","0.1","1.0","7.0","7.0","0.1","0.7","1.0","5.0","5.0","0.1","0.5","1.0","6.0","6.0","0.1","0.6","3.0","1.0","3.0","0.3","0.1","3.0","1.0","3.0","0.3","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","3.0","3.0","9.0","0.2727272727272727","0.2727272727272727","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","2.0","6.0","0.2727272727272727","0.18181818181818182","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","7.0","1.0","7.0","0.6363636363636364","0.09090909090909091","1.0","8.0","8.0","0.09090909090909091","0.7272727272727273","1.0","6.0","6.0","0.09090909090909091","0.5454545454545454","1.0","7.0","7.0","0.09090909090909091","0.6363636363636364","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","2.0","6.0","0.2727272727272727","0.18181818181818182","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","3.0","3.0","9.0","0.2727272727272727","0.2727272727272727","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","2.0","6.0","0.2727272727272727","0.18181818181818182","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","7.0","1.0","7.0","0.6363636363636364","0.09090909090909091","1.0","8.0","8.0","0.09090909090909091","0.7272727272727273","1.0","6.0","6.0","0.09090909090909091","0.5454545454545454","1.0","7.0","7.0","0.09090909090909091","0.6363636363636364","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","2.0","6.0","0.2727272727272727","0.18181818181818182","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"18","3.0","3.0","9.0","0.2727272727272727","0.2727272727272727","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","2.0","6.0","0.2727272727272727","0.18181818181818182","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","7.0","1.0","7.0","0.6363636363636364","0.09090909090909091","1.0","8.0","8.0","0.09090909090909091","0.7272727272727273","1.0","6.0","6.0","0.09090909090909091","0.5454545454545454","1.0","7.0","7.0","0.09090909090909091","0.6363636363636364","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","2.0","6.0","0.2727272727272727","0.18181818181818182","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"19","3.0","3.0","9.0","0.2727272727272727","0.2727272727272727","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","2.0","6.0","0.2727272727272727","0.18181818181818182","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","7.0","1.0","7.0","0.6363636363636364","0.09090909090909091","1.0","8.0","8.0","0.09090909090909091","0.7272727272727273","1.0","6.0","6.0","0.09090909090909091","0.5454545454545454","1.0","7.0","7.0","0.09090909090909091","0.6363636363636364","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","3.0","2.0","6.0","0.2727272727272727","0.18181818181818182","4.0","1.0","4.0","0.36363636363636365","0.09090909090909091","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"20","3.0","3.0","9.0","0.25","0.25","4.0","1.0","4.0","0.3333333333333333","0.08333333333333333","3.0","2.0","6.0","0.25","0.16666666666666666","4.0","1.0","4.0","0.3333333333333333","0.08333333333333333","7.0","1.0","7.0","0.5833333333333334","0.08333333333333333","1.0","9.0","9.0","0.08333333333333333","0.75","1.0","6.0","6.0","0.08333333333333333","0.5","1.0","7.0","7.0","0.08333333333333333","0.5833333333333334","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","2.0","6.0","0.25","0.16666666666666666","4.0","1.0","4.0","0.3333333333333333","0.08333333333333333","1.0","1.0","1.0","0.08333333333333333","0.08333333333333333","0.0","0.0","0.0","0.0","0.0"
"21","3.0","3.0","9.0","0.23076923076923078","0.23076923076923078","5.0","1.0","5.0","0.38461538461538464","0.07692307692307693","3.0","2.0","6.0","0.23076923076923078","0.15384615384615385","4.0","1.0","4.0","0.3076923076923077","0.07692307692307693","7.0","1.0","7.0","0.5384615384615384","0.07692307692307693","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","1.0","6.0","6.0","0.07692307692307693","0.46153846153846156","1.0","8.0","8.0","0.07692307692307693","0.6153846153846154","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","2.0","6.0","0.23076923076923078","0.15384615384615385","4.0","1.0","4.0","0.3076923076923077","0.07692307692307693","1.0","1.0","1.0","0.07692307692307693","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693"
