"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","RD10-ADS","RD10-GINI -ADS","RD10-AIS","RD10-GINI -AIS","RD11-ADS","RD11-GINI -ADS","RD11-AIS","RD11-GINI -AIS","RD12-ADS","RD12-GINI -ADS","RD12-AIS","RD12-GINI -AIS","RD13-ADS","RD13-GINI -ADS","RD13-AIS","RD13-GINI -AIS","RD14-ADS","RD14-GINI -ADS","RD14-AIS","RD14-GINI -AIS","RD15-ADS","RD15-GINI -ADS","RD15-AIS","RD15-GINI -AIS","RD16-ADS","RD16-GINI -ADS","RD16-AIS","RD16-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"11","0.3032330","0.5875139","0.1541501976284585","3.391304347826087","3.0","0","5.0","0.125","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","6.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","11.0","0.01744186","13.0","0","9.0","0","1.0","0","9.0","0","1.0","0","20.0","0.009493671","2.0","0","4.0","0"
"12","0.3032330","0.5875139","0.1541501976284585","3.391304347826087","3.0","0","5.0","0.1198801","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","6.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","11.0","0.01648352","13.0","0","9.0","0","1.0","0","9.0","0","1.0","0","20.0","0.008979348","2.0","0","4.0","0"
"13","0.3032330","0.5875139","0.1541501976284585","3.391304347826087","3.0","0","5.0","0.1149826","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","6.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","11.0","0.01561022","13.0","0","9.0","0","1.0","0","9.0","0","1.0","0","20.0","0.008509541","2.0","0","4.0","0"
"14","0.3032330","0.5875139","0.1541501976284585","3.391304347826087","3.0","0","5.0","0.1103448","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","6.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","11.0","0.01481481","13.0","0","9.0","0","1.0","0","9.0","0","1.0","0","20.0","0.008080808","2.0","0","4.0","0"
"15","0.3032330","0.5875139","0.1541501976284585","3.391304347826087","3.0","0","5.0","0.1059783","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","6.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","11.0","0.01408960","13.0","0","9.0","0","1.0","0","9.0","0","1.0","0","20.0","0.007689274","2.0","0","4.0","0"
"16","0.3032330","0.5875139","0.1541501976284585","3.391304347826087","3.0","0","5.0","0.1018799","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","6.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","11.0","0.01342711","13.0","0","9.0","0","1.0","0","9.0","0","1.0","0","20.0","0.007331122","2.0","0","4.0","0"
"17","0.3032330","0.5875139","0.1541501976284585","3.391304347826087","3.0","0","5.0","0.09803922","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","6.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","11.0","0.01282051","13.0","0","9.0","0","1.0","0","9.0","0","1.0","0","20.0","0.007002801","2.0","0","4.0","0"
"18","0.3032330","0.5875139","0.1541501976284585","3.391304347826087","3.0","0","5.0","0.09444171","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","6.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","11.0","0.01226367","13.0","0","9.0","0","1.0","0","9.0","0","1.0","0","20.0","0.006701103","2.0","0","4.0","0"
"19","0.3032330","0.5875139","0.1541501976284585","3.391304347826087","3.0","0","5.0","0.09107143","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","6.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","11.0","0.01175115","13.0","0","9.0","0","1.0","0","9.0","0","1.0","0","20.0","0.006423174","2.0","0","4.0","0"
"20","0.3032330","0.5875139","0.1541501976284585","3.391304347826087","3.0","0","5.0","0.08791209","2.0","0","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","4.0","0","1.0","0","6.0","0","2.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","4.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","3.0","0","0.0","0","1.0","0","11.0","0.01127820","13.0","0","9.0","0","1.0","0","9.0","0","1.0","0","20.0","0.006166495","2.0","0","4.0","0"
