"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","BA15-ADS","BA15-GINI -ADS","BA15-AIS","BA15-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.3074074","0.5777778","0.14210526315789473","2.7","2.0","0","1.0","0","3.0","0","3.0","0.1241685","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","11.0","0","0.0","0","0.0","0","5.0","0.04991087","5.0","0","13.0","0","1.0","0","17.0","0.01390959","2.0","0","2.0","0"
"11","0.3074074","0.5777778","0.14210526315789473","2.7","2.0","0","1.0","0","3.0","0","3.0","0.1212121","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","11.0","0","0.0","0","0.0","0","5.0","0.04761905","5.0","0","13.0","0","1.0","0","17.0","0.01333333","2.0","0","2.0","0"
"12","0.3074074","0.5777778","0.14210526315789473","2.7","2.0","0","1.0","0","3.0","0","3.0","0.1178396","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","11.0","0","0.0","0","0.0","0","5.0","0.04539723","5.0","0","13.0","0","1.0","0","17.0","0.01276143","2.0","0","2.0","0"
"13","0.3074074","0.5777778","0.14210526315789473","2.7","2.0","0","1.0","0","3.0","0","3.0","0.1142857","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","11.0","0","0.0","0","0.0","0","5.0","0.04329004","5.0","0","13.0","0","1.0","0","17.0","0.01221001","2.0","0","2.0","0"
"14","0.3074074","0.5777778","0.14210526315789473","2.7","2.0","0","1.0","0","3.0","0","3.0","0.1106918","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","11.0","0","0.0","0","0.0","0","5.0","0.04131455","5.0","0","13.0","0","1.0","0","17.0","0.01168659","2.0","0","2.0","0"
"15","0.3074074","0.5777778","0.14210526315789473","2.7","2.0","0","1.0","0","3.0","0","3.0","0.1071429","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","11.0","0","0.0","0","0.0","0","5.0","0.03947368","5.0","0","13.0","0","1.0","0","17.0","0.01119403","2.0","0","2.0","0"
"16","0.3074074","0.5777778","0.14210526315789473","2.7","2.0","0","1.0","0","3.0","0","3.0","0.1036889","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","11.0","0","0.0","0","0.0","0","5.0","0.03776325","5.0","0","13.0","0","1.0","0","17.0","0.01073271","2.0","0","2.0","0"
"17","0.3074074","0.5777778","0.14210526315789473","2.7","2.0","0","1.0","0","3.0","0","3.0","0.1003584","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","11.0","0","0.0","0","0.0","0","5.0","0.03617571","5.0","0","13.0","0","1.0","0","17.0","0.01030169","2.0","0","2.0","0"
"18","0.3074074","0.5777778","0.14210526315789473","2.7","2.0","0","1.0","0","3.0","0","3.0","0.09716599","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","11.0","0","0.0","0","0.0","0","5.0","0.03470214","5.0","0","13.0","0","1.0","0","17.0","0.009899357","2.0","0","2.0","0"
"19","0.3074074","0.5777778","0.14210526315789473","2.7","2.0","0","1.0","0","3.0","0","3.0","0.09411765","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","11.0","0","0.0","0","0.0","0","5.0","0.03333333","5.0","0","13.0","0","1.0","0","17.0","0.009523810","2.0","0","2.0","0"
"20","0.3074074","0.5777778","0.14210526315789473","2.7","2.0","0","1.0","0","3.0","0","3.0","0.09121395","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","11.0","0","0.0","0","0.0","0","5.0","0.03206035","5.0","0","13.0","0","1.0","0","17.0","0.009173074","2.0","0","2.0","0"
