"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","BA15-ADS","BA15-GINI -ADS","BA15-AIS","BA15-GINI -AIS","BA16-ADS","BA16-GINI -ADS","BA16-AIS","BA16-GINI -AIS","BA17-ADS","BA17-GINI -ADS","BA17-AIS","BA17-GINI -AIS","BA18-ADS","BA18-GINI -ADS","BA18-AIS","BA18-GINI -AIS","BA20-ADS","BA20-GINI -ADS","BA20-AIS","BA20-GINI -AIS","BA21-ADS","BA21-GINI -ADS","BA21-AIS","BA21-GINI -AIS","BA22-ADS","BA22-GINI -ADS","BA22-AIS","BA22-GINI -AIS","BA23-ADS","BA23-GINI -ADS","BA23-AIS","BA23-GINI -AIS","BA24-ADS","BA24-GINI -ADS","BA24-AIS","BA24-GINI -AIS","BA25-ADS","BA25-GINI -ADS","BA25-AIS","BA25-GINI -AIS","BA26-ADS","BA26-GINI -ADS","BA26-AIS","BA26-GINI -AIS","BA27-ADS","BA27-GINI -ADS","BA27-AIS","BA27-GINI -AIS","BA28-ADS","BA28-GINI -ADS","BA28-AIS","BA28-GINI -AIS","BA29-ADS","BA29-GINI -ADS","BA29-AIS","BA29-GINI -AIS","BA30-ADS","BA30-GINI -ADS","BA30-AIS","BA30-GINI -AIS","BA31-ADS","BA31-GINI -ADS","BA31-AIS","BA31-GINI -AIS","BA32-ADS","BA32-GINI -ADS","BA32-AIS","BA32-GINI -AIS","BA33-ADS","BA33-GINI -ADS","BA33-AIS","BA33-GINI -AIS","BA34-ADS","BA34-GINI -ADS","BA34-AIS","BA34-GINI -AIS","BA35-ADS","BA35-GINI -ADS","BA35-AIS","BA35-GINI -AIS","BA36-ADS","BA36-GINI -ADS","BA36-AIS","BA36-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS"
"10","0.3910985","0.6493056","0.09979838709677419","3.09375","11.0","0.1868408","4.0","0.1510490","3.0","0","3.0","0.06060606","3.0","0","2.0","0","2.0","0","1.0","0.1558442","2.0","0","1.0","0.1258741","2.0","0","2.0","0","3.0","0","0.0","0","2.0","0","1.0","0.1258741","2.0","0","2.0","0","2.0","0","1.0","0.1258741","3.0","0","1.0","0","2.0","0","1.0","0.1258741","2.0","0","2.0","0","2.0","0","1.0","0.1258741","2.0","0","1.0","0.1258741","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1258741","2.0","0","0.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1258741","3.0","0","1.0","0","2.0","0","1.0","0.08181818","2.0","0","1.0","0.1704545","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","1.0","0.1558442","25.0","0","0.0","0","0.0","0","29.0","0.03983657","1.0","0","30.0","0.03864256"
"11","0.3804768","0.65625","0.09778225806451613","3.03125","9.0","0.1991228","4.0","0.1557971","3.0","0","3.0","0.05769231","3.0","0","2.0","0","2.0","0","1.0","0.15","2.0","0","1.0","0.1190476","2.0","0","2.0","0","3.0","0","0.0","0","2.0","0","1.0","0.1190476","2.0","0","2.0","0","2.0","0","1.0","0.1190476","3.0","0","1.0","0","2.0","0","1.0","0.1190476","2.0","0","2.0","0","2.0","0","1.0","0.1190476","2.0","0","1.0","0.1190476","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1190476","2.0","0","0.0","0","2.0","0","2.0","0","2.0","0","1.0","0.03985507","3.0","0","1.0","0","2.0","0","1.0","0.1190476","3.0","0","1.0","0","2.0","0","1.0","0.1071429","2.0","0","1.0","0.1715686","2.0","0","1.0","0.03985507","2.0","0","2.0","0","1.0","0","1.0","0.15","25.0","0","0.0","0","0.0","0","29.0","0.04177489","1.0","0","30.0","0.04051217"
"12","0.3578629","0.6629704","0.09375","2.90625","5.0","0.2303748","4.0","0.1580611","3.0","0","3.0","0.05494505","3.0","0","2.0","0","2.0","0","1.0","0.1442308","2.0","0","1.0","0.1128205","2.0","0","1.0","0.03692308","3.0","0","0.0","0","2.0","0","1.0","0.1128205","2.0","0","2.0","0","2.0","0","1.0","0.1128205","3.0","0","1.0","0","2.0","0","1.0","0.1128205","2.0","0","1.0","0.03692308","2.0","0","1.0","0.1128205","2.0","0","1.0","0.1128205","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1128205","2.0","0","0.0","0","2.0","0","1.0","0.03692308","2.0","0","1.0","0.07051282","3.0","0","1.0","0","2.0","0","1.0","0.1128205","3.0","0","1.0","0","2.0","0","1.0","0.1258741","2.0","0","1.0","0.1709402","2.0","0","1.0","0.07051282","2.0","0","1.0","0.03692308","1.0","0","1.0","0.1442308","25.0","0","0.0","0","0.0","0","29.0","0.04273504","1.0","0","30.0","0.04143398"
"13","0.3578629","0.6629704","0.09375","2.90625","5.0","0.255","4.0","0.1586271","3.0","0","3.0","0.05238095","3.0","0","2.0","0","2.0","0","1.0","0.1386555","2.0","0","1.0","0.1071429","2.0","0","1.0","0.06593407","3.0","0","0.0","0","2.0","0","1.0","0.1071429","2.0","0","2.0","0","2.0","0","1.0","0.1071429","3.0","0","1.0","0","2.0","0","1.0","0.1071429","2.0","0","1.0","0.06593407","2.0","0","1.0","0.1071429","2.0","0","1.0","0.1071429","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1071429","2.0","0","0.0","0","2.0","0","1.0","0.06593407","2.0","0","1.0","0.09428571","3.0","0","1.0","0","2.0","0","1.0","0.1071429","3.0","0","1.0","0","2.0","0","1.0","0.1397516","2.0","0","1.0","0.1691729","2.0","0","1.0","0.09428571","2.0","0","1.0","0.06593407","1.0","0","1.0","0.1386555","25.0","0","0.0","0","0.0","0","29.0","0.04305063","1.0","0","30.0","0.04173179"
"14","0.3578629","0.6629704","0.09375","2.90625","5.0","0.2744715","4.0","0.1580247","3.0","0","3.0","0.05","3.0","0","2.0","0","2.0","0","1.0","0.1333333","2.0","0","1.0","0.1019608","2.0","0","1.0","0.08888889","3.0","0","0.0","0","2.0","0","1.0","0.1019608","2.0","0","2.0","0","2.0","0","1.0","0.1019608","3.0","0","1.0","0","2.0","0","1.0","0.1019608","2.0","0","1.0","0.08888889","2.0","0","1.0","0.1019608","2.0","0","1.0","0.1019608","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.1019608","2.0","0","0.0","0","2.0","0","1.0","0.08888889","2.0","0","1.0","0.1128205","3.0","0","1.0","0","2.0","0","1.0","0.1019608","3.0","0","1.0","0","2.0","0","1.0","0.15","2.0","0","1.0","0.1666667","2.0","0","1.0","0.1128205","2.0","0","1.0","0.08888889","1.0","0","1.0","0.1333333","25.0","0","0.0","0","0.0","0","29.0","0.04293785","1.0","0","30.0","0.04161533"
"15","0.3578629","0.6629704","0.09375","2.90625","5.0","0.2898810","4.0","0.1566176","3.0","0","3.0","0.04779412","3.0","0","2.0","0","2.0","0","1.0","0.1282895","2.0","0","1.0","0.09722222","2.0","0","1.0","0.1071429","3.0","0","0.0","0","2.0","0","1.0","0.09722222","2.0","0","2.0","0","2.0","0","1.0","0.09722222","3.0","0","1.0","0","2.0","0","1.0","0.09722222","2.0","0","1.0","0.1071429","2.0","0","1.0","0.09722222","2.0","0","1.0","0.09722222","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.09722222","2.0","0","0.0","0","2.0","0","1.0","0.1071429","2.0","0","1.0","0.1273148","3.0","0","1.0","0","2.0","0","1.0","0.09722222","3.0","0","1.0","0","2.0","0","1.0","0.1575","2.0","0","1.0","0.1636905","2.0","0","1.0","0.1273148","2.0","0","1.0","0.1071429","1.0","0","1.0","0.1282895","25.0","0","0.0","0","0.0","0","29.0","0.04253992","1.0","0","30.0","0.04122340"
"16","0.3578629","0.6629704","0.09375","2.90625","5.0","0.3020520","4.0","0.1546596","3.0","0","3.0","0.04575163","3.0","0","2.0","0","2.0","0","1.0","0.1235294","2.0","0","1.0","0.09287926","2.0","0","1.0","0.1217039","3.0","0","0.0","0","2.0","0","1.0","0.09287926","2.0","0","2.0","0","2.0","0","1.0","0.09287926","3.0","0","1.0","0","2.0","0","1.0","0.09287926","2.0","0","1.0","0.1217039","2.0","0","1.0","0.09287926","2.0","0","1.0","0.09287926","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.09287926","2.0","0","0.0","0","2.0","0","1.0","0.1217039","2.0","0","1.0","0.1386555","3.0","0","1.0","0","2.0","0","1.0","0.09287926","3.0","0","1.0","0","2.0","0","1.0","0.1628959","2.0","0","1.0","0.1604278","2.0","0","1.0","0.1386555","2.0","0","1.0","0.1217039","1.0","0","1.0","0.1235294","25.0","0","0.0","0","0.0","0","29.0","0.04195339","1.0","0","30.0","0.04064953"
"17","0.3578629","0.6629704","0.09375","2.90625","5.0","0.3116162","4.0","0.1523297","3.0","0","3.0","0.04385965","3.0","0","2.0","0","2.0","0","1.0","0.1190476","2.0","0","1.0","0.08888889","2.0","0","1.0","0.1333333","3.0","0","0.0","0","2.0","0","1.0","0.08888889","2.0","0","2.0","0","2.0","0","1.0","0.08888889","3.0","0","1.0","0","2.0","0","1.0","0.08888889","2.0","0","1.0","0.1333333","2.0","0","1.0","0.08888889","2.0","0","1.0","0.08888889","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.08888889","2.0","0","0.0","0","2.0","0","1.0","0.1333333","2.0","0","1.0","0.1475096","3.0","0","1.0","0","2.0","0","1.0","0.08888889","3.0","0","1.0","0","2.0","0","1.0","0.1666667","2.0","0","1.0","0.1570048","2.0","0","1.0","0.1475096","2.0","0","1.0","0.1333333","1.0","0","1.0","0.1190476","25.0","0","0.0","0","0.0","0","29.0","0.04124429","1.0","0","30.0","0.03995764"
"18","0.3578629","0.6629704","0.09375","2.90625","5.0","0.3190643","4.0","0.1497558","3.0","0","3.0","0.04210526","3.0","0","2.0","0","2.0","0","1.0","0.1148325","2.0","0","1.0","0.08521303","2.0","0","1.0","0.1426146","3.0","0","0.0","0","2.0","0","1.0","0.08521303","2.0","0","2.0","0","2.0","0","1.0","0.08521303","3.0","0","1.0","0","2.0","0","1.0","0.08521303","2.0","0","1.0","0.1426146","2.0","0","1.0","0.08521303","2.0","0","1.0","0.08521303","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.08521303","2.0","0","0.0","0","2.0","0","1.0","0.1426146","2.0","0","1.0","0.1543860","3.0","0","1.0","0","2.0","0","1.0","0.08521303","3.0","0","1.0","0","2.0","0","1.0","0.1691729","2.0","0","1.0","0.1535088","2.0","0","1.0","0.1543860","2.0","0","1.0","0.1426146","1.0","0","1.0","0.1148325","25.0","0","0.0","0","0.0","0","29.0","0.04045829","1.0","0","30.0","0.03919188"
"19","0.3578629","0.6629704","0.09375","2.90625","5.0","0.3247826","4.0","0.1470297","3.0","0","3.0","0.04047619","3.0","0","2.0","0","2.0","0","1.0","0.1108696","2.0","0","1.0","0.08181818","2.0","0","1.0","0.15","3.0","0","0.0","0","2.0","0","1.0","0.08181818","2.0","0","2.0","0","2.0","0","1.0","0.08181818","3.0","0","1.0","0","2.0","0","1.0","0.08181818","2.0","0","1.0","0.15","2.0","0","1.0","0.08181818","2.0","0","1.0","0.08181818","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.08181818","2.0","0","0.0","0","2.0","0","1.0","0.15","2.0","0","1.0","0.1596774","3.0","0","1.0","0","2.0","0","1.0","0.08181818","3.0","0","1.0","0","2.0","0","1.0","0.1706897","2.0","0","1.0","0.15","2.0","0","1.0","0.1596774","2.0","0","1.0","0.15","1.0","0","1.0","0.1108696","25.0","0","0.0","0","0.0","0","29.0","0.03962723","1.0","0","30.0","0.03838305"
"20","0.3578629","0.6629704","0.09375","2.90625","5.0","0.3290780","4.0","0.1442177","3.0","0","3.0","0.03896104","3.0","0","2.0","0","2.0","0","1.0","0.1071429","2.0","0","1.0","0.07867495","2.0","0","1.0","0.1558442","3.0","0","0.0","0","2.0","0","1.0","0.07867495","2.0","0","2.0","0","2.0","0","1.0","0.07867495","3.0","0","1.0","0","2.0","0","1.0","0.07867495","2.0","0","1.0","0.1558442","2.0","0","1.0","0.07867495","2.0","0","1.0","0.07867495","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0.07867495","2.0","0","0.0","0","2.0","0","1.0","0.1558442","2.0","0","1.0","0.1636905","3.0","0","1.0","0","2.0","0","1.0","0.07867495","3.0","0","1.0","0","2.0","0","1.0","0.1714286","2.0","0","1.0","0.1465201","2.0","0","1.0","0.1636905","2.0","0","1.0","0.1558442","1.0","0","1.0","0.1071429","25.0","0","0.0","0","0.0","0","29.0","0.03877340","1.0","0","30.0","0.03755265"
