"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS"
"10","0.4051282","0.5260546","0.16483516483516483","2.142857142857143","4.0","0.1645022","4.0","0.04195804","3.0","0","1.0","0.1696970","1.0","0","1.0","0","2.0","0","1.0","0.1148325","2.0","0","1.0","0.1148325","2.0","0","1.0","0","1.0","0","1.0","0.1148325","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","8.0","0","0.0","0","1.0","0","11.0","0.03554340","0.0","0","6.0","0"
"11","0.4051282","0.5260546","0.16483516483516483","2.142857142857143","4.0","0.1818182","4.0","0.04761905","3.0","0","1.0","0.1666667","1.0","0","1.0","0","2.0","0","1.0","0.1333333","2.0","0","1.0","0.1333333","2.0","0","1.0","0","1.0","0","1.0","0.1333333","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","8.0","0","0.0","0","1.0","0","11.0","0.03703704","0.0","0","6.0","0"
"12","0.3901099","0.5109890","0.1794871794871795","2.1538461538461537","2.0","0.2188034","3.0","0.06779661","3.0","0","1.0","0.1628959","1.0","0","1.0","0","2.0","0","1.0","0.1465201","2.0","0","1.0","0.1465201","2.0","0","1.0","0","1.0","0","1.0","0.1465201","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0.03692308","8.0","0","0.0","0","1.0","0","10.0","0.04395604","0.0","0","6.0","0"
"13","0.3901099","0.5109890","0.1794871794871795","2.1538461538461537","2.0","0.2484472","3.0","0.08294931","3.0","0","1.0","0.1587302","1.0","0","1.0","0","2.0","0","1.0","0.1558442","2.0","0","1.0","0.1558442","2.0","0","1.0","0","1.0","0","1.0","0.1558442","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0.06593407","8.0","0","0.0","0","1.0","0","10.0","0.04878049","0.0","0","6.0","0"
"14","0.3901099","0.5109890","0.1794871794871795","2.1538461538461537","2.0","0.2723404","3.0","0.09435897","3.0","0","1.0","0.1543860","1.0","0","1.0","0","2.0","0","1.0","0.1623188","2.0","0","1.0","0.1623188","2.0","0","1.0","0","1.0","0","1.0","0.1623188","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0.08888889","8.0","0","0.0","0","1.0","0","10.0","0.05210728","0.0","0","6.0","0"
"15","0.3901099","0.5109890","0.1794871794871795","2.1538461538461537","2.0","0.2916667","3.0","0.1029412","3.0","0","1.0","0.15","1.0","0","1.0","0","2.0","0","1.0","0.1666667","2.0","0","1.0","0.1666667","2.0","0","1.0","0","1.0","0","1.0","0.1666667","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0.1071429","8.0","0","0.0","0","1.0","0","10.0","0.05434783","0.0","0","6.0","0"
"16","0.3901099","0.5109890","0.1794871794871795","2.1538461538461537","2.0","0.3073229","3.0","0.1093621","3.0","0","1.0","0.1456583","1.0","0","1.0","0","2.0","0","1.0","0.1694118","2.0","0","1.0","0.1694118","2.0","0","1.0","0","1.0","0","1.0","0.1694118","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0.1217039","8.0","0","0.0","0","1.0","0","10.0","0.05579139","0.0","0","6.0","0"
"17","0.3901099","0.5109890","0.1794871794871795","2.1538461538461537","2.0","0.32","3.0","0.1141141","3.0","0","1.0","0.1414141","1.0","0","1.0","0","2.0","0","1.0","0.1709402","2.0","0","1.0","0.1709402","2.0","0","1.0","0","1.0","0","1.0","0.1709402","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0.1333333","8.0","0","0.0","0","1.0","0","10.0","0.05664488","0.0","0","6.0","0"
"18","0.3901099","0.5109890","0.1794871794871795","2.1538461538461537","2.0","0.3302374","3.0","0.1175666","3.0","0","1.0","0.1372998","1.0","0","1.0","0","2.0","0","1.0","0.1715400","2.0","0","1.0","0.1715400","2.0","0","1.0","0","1.0","0","1.0","0.1715400","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0.1426146","8.0","0","0.0","0","1.0","0","10.0","0.05705853","0.0","0","6.0","0"
"19","0.3901099","0.5109890","0.1794871794871795","2.1538461538461537","2.0","0.3384615","3.0","0.12","3.0","0","1.0","0.1333333","1.0","0","1.0","0","2.0","0","1.0","0.1714286","2.0","0","1.0","0.1714286","2.0","0","1.0","0","1.0","0","1.0","0.1714286","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0.15","8.0","0","0.0","0","1.0","0","10.0","0.05714286","0.0","0","6.0","0"
"20","0.3901099","0.5109890","0.1794871794871795","2.1538461538461537","2.0","0.3450135","3.0","0.1216294","3.0","0","1.0","0.1295238","1.0","0","1.0","0","2.0","0","1.0","0.1707718","2.0","0","1.0","0.1707718","2.0","0","1.0","0","1.0","0","1.0","0.1707718","3.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0.1558442","8.0","0","0.0","0","1.0","0","10.0","0.05698006","0.0","0","6.0","0"
