"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","CPS2-ADS","CPS2-GINI -ADS","CPS2-AIS","CPS2-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2388889","0.5","0.22727272727272727","2.5","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0.1241685","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","0.0","0","7.0","0.03486924","3.0","0","3.0","0","1.0","0","9.0","0.02679426","2.0","0","2.0","0"
"11","0.2388889","0.5","0.22727272727272727","2.5","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0.1212121","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","0.0","0","7.0","0.03333333","3.0","0","3.0","0","1.0","0","9.0","0.02564103","2.0","0","2.0","0"
"12","0.2388889","0.5","0.22727272727272727","2.5","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0.1178396","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","0.0","0","7.0","0.03183024","3.0","0","3.0","0","1.0","0","9.0","0.02450647","2.0","0","2.0","0"
"13","0.2388889","0.5","0.22727272727272727","2.5","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0.1142857","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","0.0","0","7.0","0.03039514","3.0","0","3.0","0","1.0","0","9.0","0.02341920","2.0","0","2.0","0"
"14","0.2388889","0.5","0.22727272727272727","2.5","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0.1106918","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","0.0","0","7.0","0.02904290","3.0","0","3.0","0","1.0","0","9.0","0.02239186","2.0","0","2.0","0"
"15","0.2388889","0.5","0.22727272727272727","2.5","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0.1071429","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","0.0","0","7.0","0.02777778","3.0","0","3.0","0","1.0","0","9.0","0.02142857","2.0","0","2.0","0"
"16","0.2388889","0.5","0.22727272727272727","2.5","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0.1036889","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","0.0","0","7.0","0.02659847","3.0","0","3.0","0","1.0","0","9.0","0.02052902","2.0","0","2.0","0"
"17","0.2388889","0.5","0.22727272727272727","2.5","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0.1003584","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","0.0","0","7.0","0.02550091","3.0","0","3.0","0","1.0","0","9.0","0.01969058","2.0","0","2.0","0"
"18","0.2388889","0.5","0.22727272727272727","2.5","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0.09716599","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","0.0","0","7.0","0.02447980","3.0","0","3.0","0","1.0","0","9.0","0.01890955","2.0","0","2.0","0"
"19","0.2388889","0.5","0.22727272727272727","2.5","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0.09411765","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","0.0","0","7.0","0.02352941","3.0","0","3.0","0","1.0","0","9.0","0.01818182","2.0","0","2.0","0"
"20","0.2388889","0.5","0.22727272727272727","2.5","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0.09121395","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","4.0","0","0.0","0","0.0","0","7.0","0.02264402","3.0","0","3.0","0","1.0","0","9.0","0.01750322","2.0","0","2.0","0"
