"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.25","0.53","0.2222222222222222","2.0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0.1604278","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","1.0","0","7.0","0.03841229","0.0","0","5.0","0.05565863","2.0","0","2.0","0"
"11","0.25","0.53","0.2222222222222222","2.0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0.1666667","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","1.0","0","7.0","0.03846154","0.0","0","5.0","0.05555556","2.0","0","2.0","0"
"12","0.25","0.53","0.2222222222222222","2.0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0.1700405","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","1.0","0","7.0","0.03800905","0.0","0","5.0","0.05475880","2.0","0","2.0","0"
"13","0.25","0.53","0.2222222222222222","2.0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0.1714286","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","1.0","0","7.0","0.03726708","0.0","0","5.0","0.05357143","2.0","0","2.0","0"
"14","0.25","0.53","0.2222222222222222","2.0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0.1714286","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","1.0","0","7.0","0.03636364","0.0","0","5.0","0.05217391","2.0","0","2.0","0"
"15","0.25","0.53","0.2222222222222222","2.0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0.1704545","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","1.0","0","7.0","0.03537736","0.0","0","5.0","0.05067568","2.0","0","2.0","0"
"16","0.25","0.53","0.2222222222222222","2.0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0.1687980","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","1.0","0","7.0","0.03435711","0.0","0","5.0","0.04914371","2.0","0","2.0","0"
"17","0.25","0.53","0.2222222222222222","2.0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0.1666667","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","1.0","0","7.0","0.03333333","0.0","0","5.0","0.04761905","2.0","0","2.0","0"
"18","0.25","0.53","0.2222222222222222","2.0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0.1642105","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","1.0","0","7.0","0.03232491","0.0","0","5.0","0.04612655","2.0","0","2.0","0"
"19","0.25","0.53","0.2222222222222222","2.0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0.1615385","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","1.0","0","7.0","0.03134328","0.0","0","5.0","0.04468085","2.0","0","2.0","0"
"20","0.25","0.53","0.2222222222222222","2.0","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","2.0","0.1587302","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","2.0","0","0.0","0","1.0","0","7.0","0.03039514","0.0","0","5.0","0.04329004","2.0","0","2.0","0"
