"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2571429","0.5357143","0.21978021978021978","2.857142857142857","2.0","0","4.0","0.1363636","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","8.0","0.03030303","3.0","0","3.0","0","1.0","0","6.0","0.04105572","1.0","0","10.0","0","2.0","0","3.0","0"
"11","0.2571429","0.5357143","0.21978021978021978","2.857142857142857","2.0","0","4.0","0.1333333","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","8.0","0.02898551","3.0","0","3.0","0","1.0","0","6.0","0.03921569","1.0","0","10.0","0","2.0","0","3.0","0"
"12","0.2571429","0.5357143","0.21978021978021978","2.857142857142857","2.0","0","4.0","0.1298077","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","8.0","0.02769231","3.0","0","3.0","0","1.0","0","6.0","0.03742204","1.0","0","10.0","0","2.0","0","3.0","0"
"13","0.2571429","0.5357143","0.21978021978021978","2.857142857142857","2.0","0","4.0","0.1260504","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","8.0","0.02645503","3.0","0","3.0","0","1.0","0","6.0","0.03571429","1.0","0","10.0","0","2.0","0","3.0","0"
"14","0.2571429","0.5357143","0.21978021978021978","2.857142857142857","2.0","0","4.0","0.1222222","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","8.0","0.02528736","3.0","0","3.0","0","1.0","0","6.0","0.03410853","1.0","0","10.0","0","2.0","0","3.0","0"
"15","0.2571429","0.5357143","0.21978021978021978","2.857142857142857","2.0","0","4.0","0.1184211","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","8.0","0.02419355","3.0","0","3.0","0","1.0","0","6.0","0.03260870","1.0","0","10.0","0","2.0","0","3.0","0"
"16","0.2571429","0.5357143","0.21978021978021978","2.857142857142857","2.0","0","4.0","0.1147059","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","8.0","0.02317291","3.0","0","3.0","0","1.0","0","6.0","0.03121248","1.0","0","10.0","0","2.0","0","3.0","0"
"17","0.2571429","0.5357143","0.21978021978021978","2.857142857142857","2.0","0","4.0","0.1111111","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","8.0","0.02222222","3.0","0","3.0","0","1.0","0","6.0","0.02991453","1.0","0","10.0","0","2.0","0","3.0","0"
"18","0.2571429","0.5357143","0.21978021978021978","2.857142857142857","2.0","0","4.0","0.1076555","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","8.0","0.02133713","3.0","0","3.0","0","1.0","0","6.0","0.02870813","1.0","0","10.0","0","2.0","0","3.0","0"
"19","0.2571429","0.5357143","0.21978021978021978","2.857142857142857","2.0","0","4.0","0.1043478","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","8.0","0.02051282","3.0","0","3.0","0","1.0","0","6.0","0.02758621","1.0","0","10.0","0","2.0","0","3.0","0"
"20","0.2571429","0.5357143","0.21978021978021978","2.857142857142857","2.0","0","4.0","0.1011905","3.0","0","0.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","8.0","0.01974448","3.0","0","3.0","0","1.0","0","6.0","0.02654176","1.0","0","10.0","0","2.0","0","3.0","0"
