"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS"
"10","0.3380102","0.5548469","0.20416666666666666","3.0625","6.0","0.07177033","5.0","0","3.0","0","2.0","0.1010101","2.0","0","1.0","0.1704545","3.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","11.0","0","0.0","0","0.0","0","13.0","0","1.0","0","14.0","0"
"11","0.3380102","0.5548469","0.20416666666666666","3.0625","6.0","0.07113821","5.0","0","3.0","0","2.0","0.1005747","2.0","0","1.0","0.1715686","3.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","11.0","0","0.0","0","0.0","0","13.0","0","1.0","0","14.0","0"
"12","0.3380102","0.5548469","0.20416666666666666","3.0625","6.0","0.06993007","5.0","0","3.0","0","2.0","0.09925558","2.0","0","1.0","0.1709402","3.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","11.0","0","0.0","0","0.0","0","13.0","0","1.0","0","14.0","0"
"13","0.3380102","0.5548469","0.20416666666666666","3.0625","6.0","0.06838906","5.0","0","3.0","0","2.0","0.09740260","2.0","0","1.0","0.1691729","3.0","0","2.0","0","2.0","0","2.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","11.0","0","0.0","0","0.0","0","13.0","0","1.0","0","14.0","0"
"14","0.3178191","0.5731383","0.19583333333333333","2.9375","4.0","0.08707483","5.0","0","3.0","0","2.0","0.09523810","2.0","0","1.0","0.1666667","3.0","0","1.0","0.03218391","2.0","0","1.0","0.03218391","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","11.0","0","0.0","0","0.0","0","13.0","0","1.0","0","14.0","0"
"15","0.3178191","0.5731383","0.19583333333333333","2.9375","4.0","0.1017157","5.0","0","3.0","0","2.0","0.09290541","2.0","0","1.0","0.1636905","3.0","0","1.0","0.05833333","2.0","0","1.0","0.05833333","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","11.0","0","0.0","0","0.0","0","13.0","0","1.0","0","14.0","0"
"16","0.3178191","0.5731383","0.19583333333333333","2.9375","4.0","0.1132075","5.0","0","3.0","0","2.0","0.09049774","2.0","0","1.0","0.1604278","3.0","0","1.0","0.07969639","2.0","0","1.0","0.07969639","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","2.0","0","1.0","0","11.0","0","0.0","0","0.0","0","13.0","0","1.0","0","14.0","0"
"17","0.3152778","0.5819444","0.1875","2.8125","2.0","0.1419753","5.0","0","3.0","0","2.0","0.08807588","2.0","0","1.0","0.1570048","3.0","0","1.0","0.09722222","2.0","0","1.0","0.09722222","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.02698413","2.0","0","1.0","0.02698413","2.0","0","1.0","0","11.0","0","0.0","0","0.0","0","13.0","0","1.0","0","14.0","0"
"18","0.3152778","0.5819444","0.1875","2.8125","2.0","0.1665072","5.0","0","3.0","0","2.0","0.08567931","2.0","0","1.0","0.1535088","3.0","0","1.0","0.1116427","2.0","0","1.0","0.1116427","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.04970760","2.0","0","1.0","0.04970760","2.0","0","1.0","0","11.0","0","0.0","0","0.0","0","13.0","0","1.0","0","14.0","0"
"19","0.3152778","0.5819444","0.1875","2.8125","2.0","0.1875","5.0","0","3.0","0","2.0","0.08333333","2.0","0","1.0","0.15","3.0","0","1.0","0.1235294","2.0","0","1.0","0.1235294","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.06891892","2.0","0","1.0","0.06891892","2.0","0","1.0","0","11.0","0","0.0","0","0.0","0","13.0","0","1.0","0","14.0","0"
"20","0.3152778","0.5819444","0.1875","2.8125","2.0","0.2055138","5.0","0","3.0","0","2.0","0.08105370","2.0","0","1.0","0.1465201","3.0","0","1.0","0.1333333","2.0","0","1.0","0.1333333","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.08521303","2.0","0","1.0","0.08521303","2.0","0","1.0","0","11.0","0","0.0","0","0.0","0","13.0","0","1.0","0","14.0","0"
