"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA2-ADS","BA2-AIS","BA2-ACS","BA2-RCS","BA2-RIS","BA3-ADS","BA3-AIS","BA3-ACS","BA3-RCS","BA3-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","MSB-ADS","MSB-AIS","MSB-ACS","MSB-RCS","MSB-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS","MSV1-ADS","MSV1-AIS","MSV1-ACS","MSV1-RCS","MSV1-RIS","MSV2-ADS","MSV2-AIS","MSV2-ACS","MSV2-RCS","MSV2-RIS","MSV3-ADS","MSV3-AIS","MSV3-ACS","MSV3-RCS","MSV3-RIS","MSV4-ADS","MSV4-AIS","MSV4-ACS","MSV4-RCS","MSV4-RIS"
"11","5.0","1.0","5.0","0.45454545454545453","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","4.0","2.0","8.0","0.36363636363636365","0.18181818181818182","3.0","0.0","0.0","0.2727272727272727","0.0","1.0","4.0","4.0","0.09090909090909091","0.36363636363636365","3.0","4.0","12.0","0.2727272727272727","0.36363636363636365","1.0","5.0","5.0","0.09090909090909091","0.45454545454545453","1.0","8.0","8.0","0.09090909090909091","0.7272727272727273","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"12","5.0","1.0","5.0","0.45454545454545453","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","4.0","2.0","8.0","0.36363636363636365","0.18181818181818182","3.0","0.0","0.0","0.2727272727272727","0.0","1.0","4.0","4.0","0.09090909090909091","0.36363636363636365","3.0","4.0","12.0","0.2727272727272727","0.36363636363636365","1.0","5.0","5.0","0.09090909090909091","0.45454545454545453","1.0","8.0","8.0","0.09090909090909091","0.7272727272727273","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"13","5.0","1.0","5.0","0.45454545454545453","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","2.0","1.0","2.0","0.18181818181818182","0.09090909090909091","4.0","2.0","8.0","0.36363636363636365","0.18181818181818182","3.0","0.0","0.0","0.2727272727272727","0.0","1.0","4.0","4.0","0.09090909090909091","0.36363636363636365","3.0","4.0","12.0","0.2727272727272727","0.36363636363636365","1.0","5.0","5.0","0.09090909090909091","0.45454545454545453","1.0","8.0","8.0","0.09090909090909091","0.7272727272727273","3.0","1.0","3.0","0.2727272727272727","0.09090909090909091","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","5.0","1.0","5.0","0.4166666666666667","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","4.0","2.0","8.0","0.3333333333333333","0.16666666666666666","3.0","0.0","0.0","0.25","0.0","1.0","5.0","5.0","0.08333333333333333","0.4166666666666667","3.0","4.0","12.0","0.25","0.3333333333333333","1.0","6.0","6.0","0.08333333333333333","0.5","1.0","9.0","9.0","0.08333333333333333","0.75","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"15","5.0","1.0","5.0","0.4166666666666667","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","4.0","2.0","8.0","0.3333333333333333","0.16666666666666666","3.0","0.0","0.0","0.25","0.0","1.0","5.0","5.0","0.08333333333333333","0.4166666666666667","3.0","4.0","12.0","0.25","0.3333333333333333","1.0","6.0","6.0","0.08333333333333333","0.5","1.0","9.0","9.0","0.08333333333333333","0.75","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"16","5.0","1.0","5.0","0.4166666666666667","0.08333333333333333","2.0","1.0","2.0","0.16666666666666666","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","4.0","2.0","8.0","0.3333333333333333","0.16666666666666666","3.0","0.0","0.0","0.25","0.0","1.0","5.0","5.0","0.08333333333333333","0.4166666666666667","3.0","4.0","12.0","0.25","0.3333333333333333","1.0","6.0","6.0","0.08333333333333333","0.5","1.0","9.0","9.0","0.08333333333333333","0.75","3.0","1.0","3.0","0.25","0.08333333333333333","3.0","1.0","3.0","0.25","0.08333333333333333","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"17","5.0","1.0","5.0","0.38461538461538464","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","4.0","2.0","8.0","0.3076923076923077","0.15384615384615385","4.0","1.0","4.0","0.3076923076923077","0.07692307692307693","1.0","6.0","6.0","0.07692307692307693","0.46153846153846156","3.0","4.0","12.0","0.23076923076923078","0.3076923076923077","1.0","7.0","7.0","0.07692307692307693","0.5384615384615384","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","4.0","1.0","4.0","0.3076923076923077","0.07692307692307693","0.0","0.0","0.0","0.0","0.0"
"18","5.0","1.0","5.0","0.38461538461538464","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","4.0","2.0","8.0","0.3076923076923077","0.15384615384615385","4.0","1.0","4.0","0.3076923076923077","0.07692307692307693","1.0","6.0","6.0","0.07692307692307693","0.46153846153846156","3.0","4.0","12.0","0.23076923076923078","0.3076923076923077","1.0","7.0","7.0","0.07692307692307693","0.5384615384615384","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","4.0","1.0","4.0","0.3076923076923077","0.07692307692307693","0.0","0.0","0.0","0.0","0.0"
"19","5.0","1.0","5.0","0.38461538461538464","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","4.0","2.0","8.0","0.3076923076923077","0.15384615384615385","4.0","1.0","4.0","0.3076923076923077","0.07692307692307693","1.0","6.0","6.0","0.07692307692307693","0.46153846153846156","3.0","4.0","12.0","0.23076923076923078","0.3076923076923077","1.0","7.0","7.0","0.07692307692307693","0.5384615384615384","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","4.0","1.0","4.0","0.3076923076923077","0.07692307692307693","0.0","0.0","0.0","0.0","0.0"
"20","5.0","1.0","5.0","0.38461538461538464","0.07692307692307693","2.0","1.0","2.0","0.15384615384615385","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","4.0","2.0","8.0","0.3076923076923077","0.15384615384615385","4.0","1.0","4.0","0.3076923076923077","0.07692307692307693","1.0","6.0","6.0","0.07692307692307693","0.46153846153846156","3.0","4.0","12.0","0.23076923076923078","0.3076923076923077","1.0","7.0","7.0","0.07692307692307693","0.5384615384615384","1.0","10.0","10.0","0.07692307692307693","0.7692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","3.0","1.0","3.0","0.23076923076923078","0.07692307692307693","4.0","1.0","4.0","0.3076923076923077","0.07692307692307693","0.0","0.0","0.0","0.0","0.0"
"21","5.0","1.0","5.0","0.35714285714285715","0.07142857142857142","2.0","1.0","2.0","0.14285714285714285","0.07142857142857142","3.0","2.0","6.0","0.21428571428571427","0.14285714285714285","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","4.0","2.0","8.0","0.2857142857142857","0.14285714285714285","5.0","1.0","5.0","0.35714285714285715","0.07142857142857142","1.0","7.0","7.0","0.07142857142857142","0.5","3.0","4.0","12.0","0.21428571428571427","0.2857142857142857","1.0","8.0","8.0","0.07142857142857142","0.5714285714285714","1.0","10.0","10.0","0.07142857142857142","0.7142857142857143","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142","4.0","1.0","4.0","0.2857142857142857","0.07142857142857142","3.0","1.0","3.0","0.21428571428571427","0.07142857142857142"
