"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS"
"10","0.5258621","0.3936782","0.2196969696969697","2.4166666666666665","0.0","0.4545455","3.0","0","8.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","3.0","0","0.0","0","1.0","0","2.0","0","8.0","0","7.0","0.03285871","0.0","0","5.0","0"
"11","0.5258621","0.3936782","0.2196969696969697","2.4166666666666665","0.0","0.5","3.0","0","8.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","3.0","0","0.0","0","1.0","0","2.0","0","8.0","0","7.0","0.03333333","0.0","0","5.0","0"
"12","0.5258621","0.3936782","0.2196969696969697","2.4166666666666665","0.0","0.5384615","3.0","0","8.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","3.0","0","0.0","0","1.0","0","2.0","0","8.0","0","7.0","0.03330690","0.0","0","5.0","0"
"13","0.5258621","0.3936782","0.2196969696969697","2.4166666666666665","0.0","0.5714286","3.0","0","8.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","3.0","0","0.0","0","1.0","0","2.0","0","8.0","0","7.0","0.03296703","0.0","0","5.0","0"
"14","0.5258621","0.3936782","0.2196969696969697","2.4166666666666665","0.0","0.6","3.0","0","8.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","3.0","0","0.0","0","1.0","0","2.0","0","8.0","0","7.0","0.03243243","0.0","0","5.0","0"
"15","0.5258621","0.3936782","0.2196969696969697","2.4166666666666665","0.0","0.625","3.0","0","8.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","3.0","0","0.0","0","1.0","0","2.0","0","8.0","0","7.0","0.03177966","0.0","0","5.0","0"
"16","0.5258621","0.3936782","0.2196969696969697","2.4166666666666665","0.0","0.6470588","3.0","0","8.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","3.0","0","0.0","0","1.0","0","2.0","0","8.0","0","7.0","0.03105882","0.0","0","5.0","0"
"17","0.5258621","0.3936782","0.2196969696969697","2.4166666666666665","0.0","0.6666667","3.0","0","8.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","3.0","0","0.0","0","1.0","0","2.0","0","8.0","0","7.0","0.03030303","0.0","0","5.0","0"
"18","0.5258621","0.3936782","0.2196969696969697","2.4166666666666665","0.0","0.6842105","3.0","0","8.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","3.0","0","0.0","0","1.0","0","2.0","0","8.0","0","7.0","0.02953427","0.0","0","5.0","0"
"19","0.5258621","0.3936782","0.2196969696969697","2.4166666666666665","0.0","0.7","3.0","0","8.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","3.0","0","0.0","0","1.0","0","2.0","0","8.0","0","7.0","0.02876712","0.0","0","5.0","0"
"20","0.5258621","0.3936782","0.2196969696969697","2.4166666666666665","0.0","0.7142857","3.0","0","8.0","0","1.0","0","2.0","0","2.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","1.0","0","2.0","0","2.0","0","1.0","0","1.0","0","3.0","0","0.0","0","1.0","0","2.0","0","8.0","0","7.0","0.02801120","0.0","0","5.0","0"
