"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2382445","0.4514107","0.2636363636363636","2.6363636363636362","4.0","0","1.0","0","4.0","0","3.0","0.1241685","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.04105572","3.0","0","2.0","0","1.0","0","5.0","0.04991087","1.0","0","7.0","0","2.0","0","2.0","0"
"11","0.2382445","0.4514107","0.2636363636363636","2.6363636363636362","4.0","0","1.0","0","4.0","0","3.0","0.1212121","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.03921569","3.0","0","2.0","0","1.0","0","5.0","0.04761905","1.0","0","7.0","0","2.0","0","2.0","0"
"12","0.2382445","0.4514107","0.2636363636363636","2.6363636363636362","4.0","0","1.0","0","4.0","0","3.0","0.1178396","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.03742204","3.0","0","2.0","0","1.0","0","5.0","0.04539723","1.0","0","7.0","0","2.0","0","2.0","0"
"13","0.2382445","0.4514107","0.2636363636363636","2.6363636363636362","4.0","0","1.0","0","4.0","0","3.0","0.1142857","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.03571429","3.0","0","2.0","0","1.0","0","5.0","0.04329004","1.0","0","7.0","0","2.0","0","2.0","0"
"14","0.2382445","0.4514107","0.2636363636363636","2.6363636363636362","4.0","0","1.0","0","4.0","0","3.0","0.1106918","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.03410853","3.0","0","2.0","0","1.0","0","5.0","0.04131455","1.0","0","7.0","0","2.0","0","2.0","0"
"15","0.2382445","0.4514107","0.2636363636363636","2.6363636363636362","4.0","0","1.0","0","4.0","0","3.0","0.1071429","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.03260870","3.0","0","2.0","0","1.0","0","5.0","0.03947368","1.0","0","7.0","0","2.0","0","2.0","0"
"16","0.2382445","0.4514107","0.2636363636363636","2.6363636363636362","4.0","0","1.0","0","4.0","0","3.0","0.1036889","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.03121248","3.0","0","2.0","0","1.0","0","5.0","0.03776325","1.0","0","7.0","0","2.0","0","2.0","0"
"17","0.2382445","0.4514107","0.2636363636363636","2.6363636363636362","4.0","0","1.0","0","4.0","0","3.0","0.1003584","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.02991453","3.0","0","2.0","0","1.0","0","5.0","0.03617571","1.0","0","7.0","0","2.0","0","2.0","0"
"18","0.2382445","0.4514107","0.2636363636363636","2.6363636363636362","4.0","0","1.0","0","4.0","0","3.0","0.09716599","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.02870813","3.0","0","2.0","0","1.0","0","5.0","0.03470214","1.0","0","7.0","0","2.0","0","2.0","0"
"19","0.2382445","0.4514107","0.2636363636363636","2.6363636363636362","4.0","0","1.0","0","4.0","0","3.0","0.09411765","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.02758621","3.0","0","2.0","0","1.0","0","5.0","0.03333333","1.0","0","7.0","0","2.0","0","2.0","0"
"20","0.2382445","0.4514107","0.2636363636363636","2.6363636363636362","4.0","0","1.0","0","4.0","0","3.0","0.09121395","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","1.0","0","6.0","0.02654176","3.0","0","2.0","0","1.0","0","5.0","0.03206035","1.0","0","7.0","0","2.0","0","2.0","0"
