"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2424242","0.5393939","0.2727272727272727","2.727272727272727","4.0","0","1.0","0","3.0","0","3.0","0.1212121","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","8.0","0.03325942","1.0","0","5.0","0.05565863","1.0","0","8.0","0","2.0","0","2.0","0"
"11","0.2424242","0.5393939","0.2727272727272727","2.727272727272727","4.0","0","1.0","0","3.0","0","3.0","0.125","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","8.0","0.03333333","1.0","0","5.0","0.05555556","1.0","0","8.0","0","2.0","0","2.0","0"
"12","0.2424242","0.5393939","0.2727272727272727","2.727272727272727","4.0","0","1.0","0","3.0","0","3.0","0.1266968","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","8.0","0.03296703","1.0","0","5.0","0.05475880","1.0","0","8.0","0","2.0","0","2.0","0"
"13","0.2424242","0.5393939","0.2727272727272727","2.727272727272727","4.0","0","1.0","0","3.0","0","3.0","0.1269841","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","8.0","0.03234501","1.0","0","5.0","0.05357143","1.0","0","8.0","0","2.0","0","2.0","0"
"14","0.2424242","0.5393939","0.2727272727272727","2.727272727272727","4.0","0","1.0","0","3.0","0","3.0","0.1263158","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","8.0","0.03157895","1.0","0","5.0","0.05217391","1.0","0","8.0","0","2.0","0","2.0","0"
"15","0.2424242","0.5393939","0.2727272727272727","2.727272727272727","4.0","0","1.0","0","3.0","0","3.0","0.125","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","8.0","0.03073770","1.0","0","5.0","0.05067568","1.0","0","8.0","0","2.0","0","2.0","0"
"16","0.2424242","0.5393939","0.2727272727272727","2.727272727272727","4.0","0","1.0","0","3.0","0","3.0","0.1232493","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","8.0","0.02986425","1.0","0","5.0","0.04914371","1.0","0","8.0","0","2.0","0","2.0","0"
"17","0.2424242","0.5393939","0.2727272727272727","2.727272727272727","4.0","0","1.0","0","3.0","0","3.0","0.1212121","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","8.0","0.02898551","1.0","0","5.0","0.04761905","1.0","0","8.0","0","2.0","0","2.0","0"
"18","0.2424242","0.5393939","0.2727272727272727","2.727272727272727","4.0","0","1.0","0","3.0","0","3.0","0.1189931","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","8.0","0.02811824","1.0","0","5.0","0.04612655","1.0","0","8.0","0","2.0","0","2.0","0"
"19","0.2424242","0.5393939","0.2727272727272727","2.727272727272727","4.0","0","1.0","0","3.0","0","3.0","0.1166667","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","8.0","0.02727273","1.0","0","5.0","0.04468085","1.0","0","8.0","0","2.0","0","2.0","0"
"20","0.2424242","0.5393939","0.2727272727272727","2.727272727272727","4.0","0","1.0","0","3.0","0","3.0","0.1142857","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","4.0","0","1.0","0","4.0","0","0.0","0","1.0","0","8.0","0.02645503","1.0","0","5.0","0.04329004","1.0","0","8.0","0","2.0","0","2.0","0"
