"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2282230","0.5975610","0.22527472527472528","2.9285714285714284","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","2.0","0","5.0","0.1454545","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","1.0","0","5.0","0.05454545","5.0","0","7.0","0","1.0","0","6.0","0.04470939","1.0","0","11.0","0.02351097","3.0","0","4.0","0"
"11","0.2282230","0.5975610","0.22527472527472528","2.9285714285714284","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","2.0","0","5.0","0.1458333","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","1.0","0","5.0","0.05303030","5.0","0","7.0","0","1.0","0","6.0","0.04353234","1.0","0","11.0","0.02296588","3.0","0","4.0","0"
"12","0.2282230","0.5975610","0.22527472527472528","2.9285714285714284","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","2.0","0","5.0","0.1447964","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","1.0","0","5.0","0.05128205","5.0","0","7.0","0","1.0","0","6.0","0.04214963","1.0","0","11.0","0.02229654","3.0","0","4.0","0"
"13","0.2282230","0.5975610","0.22527472527472528","2.9285714285714284","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","2.0","0","5.0","0.1428571","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","1.0","0","5.0","0.04945055","5.0","0","7.0","0","1.0","0","6.0","0.04068716","1.0","0","11.0","0.02157239","3.0","0","4.0","0"
"14","0.2282230","0.5975610","0.22527472527472528","2.9285714285714284","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","2.0","0","5.0","0.1403509","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","1.0","0","5.0","0.04761905","5.0","0","7.0","0","1.0","0","6.0","0.03921569","1.0","0","11.0","0.02083333","3.0","0","4.0","0"
"15","0.2282230","0.5975610","0.22527472527472528","2.9285714285714284","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","2.0","0","5.0","0.1375","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","1.0","0","5.0","0.04583333","5.0","0","7.0","0","1.0","0","6.0","0.03777473","1.0","0","11.0","0.02010234","3.0","0","4.0","0"
"16","0.2282230","0.5975610","0.22527472527472528","2.9285714285714284","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","2.0","0","5.0","0.1344538","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","1.0","0","5.0","0.04411765","5.0","0","7.0","0","1.0","0","6.0","0.03638569","1.0","0","11.0","0.01939237","3.0","0","4.0","0"
"17","0.2282230","0.5975610","0.22527472527472528","2.9285714285714284","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","2.0","0","5.0","0.1313131","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","1.0","0","5.0","0.04248366","5.0","0","7.0","0","1.0","0","6.0","0.03505933","1.0","0","11.0","0.01871042","3.0","0","4.0","0"
"18","0.2282230","0.5975610","0.22527472527472528","2.9285714285714284","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","2.0","0","5.0","0.1281465","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","1.0","0","5.0","0.04093567","5.0","0","7.0","0","1.0","0","6.0","0.03380010","1.0","0","11.0","0.01805986","3.0","0","4.0","0"
"19","0.2282230","0.5975610","0.22527472527472528","2.9285714285714284","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","2.0","0","5.0","0.125","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","1.0","0","5.0","0.03947368","5.0","0","7.0","0","1.0","0","6.0","0.03260870","1.0","0","11.0","0.01744186","3.0","0","4.0","0"
"20","0.2282230","0.5975610","0.22527472527472528","2.9285714285714284","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","4.0","0","0.0","0","2.0","0","5.0","0.1219048","4.0","0","1.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","1.0","0","5.0","0.03809524","5.0","0","7.0","0","1.0","0","6.0","0.03148367","1.0","0","11.0","0.01685630","3.0","0","4.0","0"
