"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2611111","0.5111111","0.22727272727272727","2.5","2.0","0","2.0","0.1696970","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","5.0","0","0.0","0","1.0","0","5.0","0.04991087","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","9.0","0.02679426","2.0","0","2.0","0"
"11","0.2611111","0.5111111","0.22727272727272727","2.5","2.0","0","2.0","0.1666667","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","5.0","0","0.0","0","1.0","0","5.0","0.04761905","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","9.0","0.02564103","2.0","0","2.0","0"
"12","0.2611111","0.5111111","0.22727272727272727","2.5","2.0","0","2.0","0.1628959","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","5.0","0","0.0","0","1.0","0","5.0","0.04539723","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","9.0","0.02450647","2.0","0","2.0","0"
"13","0.2611111","0.5111111","0.22727272727272727","2.5","2.0","0","2.0","0.1587302","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","5.0","0","0.0","0","1.0","0","5.0","0.04329004","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","9.0","0.02341920","2.0","0","2.0","0"
"14","0.2611111","0.5111111","0.22727272727272727","2.5","2.0","0","2.0","0.1543860","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","5.0","0","0.0","0","1.0","0","5.0","0.04131455","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","9.0","0.02239186","2.0","0","2.0","0"
"15","0.2611111","0.5111111","0.22727272727272727","2.5","2.0","0","2.0","0.15","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","5.0","0","0.0","0","1.0","0","5.0","0.03947368","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","9.0","0.02142857","2.0","0","2.0","0"
"16","0.2611111","0.5111111","0.22727272727272727","2.5","2.0","0","2.0","0.1456583","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","5.0","0","0.0","0","1.0","0","5.0","0.03776325","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","9.0","0.02052902","2.0","0","2.0","0"
"17","0.2611111","0.5111111","0.22727272727272727","2.5","2.0","0","2.0","0.1414141","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","5.0","0","0.0","0","1.0","0","5.0","0.03617571","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","9.0","0.01969058","2.0","0","2.0","0"
"18","0.2611111","0.5111111","0.22727272727272727","2.5","2.0","0","2.0","0.1372998","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","5.0","0","0.0","0","1.0","0","5.0","0.03470214","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","9.0","0.01890955","2.0","0","2.0","0"
"19","0.2611111","0.5111111","0.22727272727272727","2.5","2.0","0","2.0","0.1333333","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","5.0","0","0.0","0","1.0","0","5.0","0.03333333","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","9.0","0.01818182","2.0","0","2.0","0"
"20","0.2611111","0.5111111","0.22727272727272727","2.5","2.0","0","2.0","0.1295238","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","0.0","0","5.0","0","0.0","0","1.0","0","5.0","0.03206035","2.0","0","4.0","0","1.0","0","4.0","0","1.0","0","9.0","0.01750322","2.0","0","2.0","0"
