"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","BA15-ADS","BA15-GINI -ADS","BA15-AIS","BA15-GINI -AIS","BA16-ADS","BA16-GINI -ADS","BA16-AIS","BA16-GINI -AIS","BA17-ADS","BA17-GINI -ADS","BA17-AIS","BA17-GINI -AIS","BA18-ADS","BA18-GINI -ADS","BA18-AIS","BA18-GINI -AIS","BA19-ADS","BA19-GINI -ADS","BA19-AIS","BA19-GINI -AIS","BA20-ADS","BA20-GINI -ADS","BA20-AIS","BA20-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS"
"10","0.3413849","0.6022544","0.1067193675889328","2.347826086956522","2.0","0.2633229","5.0","0","2.0","0","3.0","0.06879607","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0.1414141","1.0","0","1.0","0.1414141","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","1.0","0.1414141","1.0","0","1.0","0.1696970","2.0","0","1.0","0.1414141","12.0","0","0.0","0","1.0","0","20.0","0","0.0","0","8.0","0"
"11","0.3413849","0.6022544","0.1067193675889328","2.347826086956522","2.0","0.2833333","5.0","0","2.0","0","3.0","0.06666667","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0.1535088","1.0","0","1.0","0.1535088","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","1.0","0.1535088","1.0","0","1.0","0.1666667","2.0","0","1.0","0.1535088","12.0","0","0.0","0","1.0","0","20.0","0","0.0","0","8.0","0"
"12","0.3413849","0.6022544","0.1067193675889328","2.347826086956522","2.0","0.2977667","5.0","0","2.0","0","3.0","0.06440072","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0.1615385","1.0","0","1.0","0.1615385","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","1.0","0.1615385","1.0","0","1.0","0.1628959","2.0","0","1.0","0.1615385","12.0","0","0.0","0","1.0","0","20.0","0","0.0","0","8.0","0"
"13","0.3413849","0.6022544","0.1067193675889328","2.347826086956522","2.0","0.3080357","5.0","0","2.0","0","3.0","0.06211180","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0.1666667","1.0","0","1.0","0.1666667","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","1.0","0.1666667","1.0","0","1.0","0.1587302","2.0","0","1.0","0.1666667","12.0","0","0.0","0","1.0","0","20.0","0","0.0","0","8.0","0"
"14","0.3413849","0.6022544","0.1067193675889328","2.347826086956522","2.0","0.3151515","5.0","0","2.0","0","3.0","0.05986395","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0.1696970","1.0","0","1.0","0.1696970","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","1.0","0.1696970","1.0","0","1.0","0.1543860","2.0","0","1.0","0.1696970","12.0","0","0.0","0","1.0","0","20.0","0","0.0","0","8.0","0"
"15","0.3413849","0.6022544","0.1067193675889328","2.347826086956522","2.0","0.3198529","5.0","0","2.0","0","3.0","0.05769231","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0.1711957","1.0","0","1.0","0.1711957","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","1.0","0.1711957","1.0","0","1.0","0.15","2.0","0","1.0","0.1711957","12.0","0","0.0","0","1.0","0","20.0","0","0.0","0","8.0","0"
"16","0.3413849","0.6022544","0.1067193675889328","2.347826086956522","2.0","0.3226891","5.0","0","2.0","0","3.0","0.05561497","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0.1715686","1.0","0","1.0","0.1715686","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","1.0","0.1715686","1.0","0","1.0","0.1456583","2.0","0","1.0","0.1715686","12.0","0","0.0","0","1.0","0","20.0","0","0.0","0","8.0","0"
"17","0.3413849","0.6022544","0.1067193675889328","2.347826086956522","2.0","0.3240741","5.0","0","2.0","0","3.0","0.05363985","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0.1711111","1.0","0","1.0","0.1711111","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","1.0","0.1711111","1.0","0","1.0","0.1414141","2.0","0","1.0","0.1711111","12.0","0","0.0","0","1.0","0","20.0","0","0.0","0","8.0","0"
"18","0.3413849","0.6022544","0.1067193675889328","2.347826086956522","2.0","0.3243243","5.0","0","2.0","0","3.0","0.05176877","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0.1700405","1.0","0","1.0","0.1700405","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","1.0","0.1700405","1.0","0","1.0","0.1372998","2.0","0","1.0","0.1700405","12.0","0","0.0","0","1.0","0","20.0","0","0.0","0","8.0","0"
"19","0.3413849","0.6022544","0.1067193675889328","2.347826086956522","2.0","0.3236842","5.0","0","2.0","0","3.0","0.05","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0.1685185","1.0","0","1.0","0.1685185","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","1.0","0.1685185","1.0","0","1.0","0.1333333","2.0","0","1.0","0.1685185","12.0","0","0.0","0","1.0","0","20.0","0","0.0","0","8.0","0"
"20","0.3413849","0.6022544","0.1067193675889328","2.347826086956522","2.0","0.3223443","5.0","0","2.0","0","3.0","0.04832978","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","2.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","1.0","0","1.0","0.1666667","1.0","0","1.0","0.1666667","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","1.0","0.1666667","1.0","0","1.0","0.1295238","2.0","0","1.0","0.1666667","12.0","0","0.0","0","1.0","0","20.0","0","0.0","0","8.0","0"
