"release","BA1-ADS","BA1-AIS","BA1-ACS","BA1-RCS","BA1-RIS","BA4-ADS","BA4-AIS","BA4-ACS","BA4-RCS","BA4-RIS","BA5-ADS","BA5-AIS","BA5-ACS","BA5-RCS","BA5-RIS","GTW-ADS","GTW-AIS","GTW-ACS","GTW-RCS","GTW-RIS","REG-ADS","REG-AIS","REG-ACS","REG-RCS","REG-RIS","CFG-ADS","CFG-AIS","CFG-ACS","CFG-RCS","CFG-RIS","TRC-ADS","TRC-AIS","TRC-ACS","TRC-RCS","TRC-RIS"
"11","6.0","2.0","12.0","0.6666666666666666","0.2222222222222222","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","1.0","3.0","3.0","0.1111111111111111","0.3333333333333333","1.0","7.0","7.0","0.1111111111111111","0.7777777777777778"
"12","6.0","2.0","12.0","0.6666666666666666","0.2222222222222222","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","1.0","3.0","3.0","0.1111111111111111","0.3333333333333333","1.0","7.0","7.0","0.1111111111111111","0.7777777777777778"
"13","6.0","2.0","12.0","0.6666666666666666","0.2222222222222222","2.0","2.0","4.0","0.2222222222222222","0.2222222222222222","3.0","1.0","3.0","0.3333333333333333","0.1111111111111111","3.0","0.0","0.0","0.3333333333333333","0.0","1.0","6.0","6.0","0.1111111111111111","0.6666666666666666","1.0","3.0","3.0","0.1111111111111111","0.3333333333333333","1.0","7.0","7.0","0.1111111111111111","0.7777777777777778"
"14","5.0","2.0","10.0","0.625","0.25","2.0","2.0","4.0","0.25","0.25","3.0","1.0","3.0","0.375","0.125","3.0","0.0","0.0","0.375","0.0","1.0","5.0","5.0","0.125","0.625","1.0","3.0","3.0","0.125","0.375","1.0","6.0","6.0","0.125","0.75"
"15","5.0","2.0","10.0","0.625","0.25","2.0","2.0","4.0","0.25","0.25","3.0","1.0","3.0","0.375","0.125","3.0","0.0","0.0","0.375","0.0","1.0","5.0","5.0","0.125","0.625","1.0","3.0","3.0","0.125","0.375","1.0","6.0","6.0","0.125","0.75"
"16","5.0","2.0","10.0","0.625","0.25","2.0","2.0","4.0","0.25","0.25","3.0","1.0","3.0","0.375","0.125","3.0","0.0","0.0","0.375","0.0","1.0","5.0","5.0","0.125","0.625","1.0","3.0","3.0","0.125","0.375","1.0","6.0","6.0","0.125","0.75"
"17","5.0","2.0","10.0","0.625","0.25","2.0","2.0","4.0","0.25","0.25","3.0","1.0","3.0","0.375","0.125","3.0","0.0","0.0","0.375","0.0","1.0","5.0","5.0","0.125","0.625","1.0","3.0","3.0","0.125","0.375","1.0","6.0","6.0","0.125","0.75"
"18","5.0","2.0","10.0","0.625","0.25","2.0","2.0","4.0","0.25","0.25","3.0","1.0","3.0","0.375","0.125","3.0","0.0","0.0","0.375","0.0","1.0","5.0","5.0","0.125","0.625","1.0","3.0","3.0","0.125","0.375","1.0","6.0","6.0","0.125","0.75"
"19","5.0","2.0","10.0","0.625","0.25","2.0","2.0","4.0","0.25","0.25","3.0","1.0","3.0","0.375","0.125","3.0","0.0","0.0","0.375","0.0","1.0","5.0","5.0","0.125","0.625","1.0","3.0","3.0","0.125","0.375","1.0","6.0","6.0","0.125","0.75"
"20","5.0","2.0","10.0","0.625","0.25","2.0","2.0","4.0","0.25","0.25","3.0","1.0","3.0","0.375","0.125","3.0","0.0","0.0","0.375","0.0","1.0","5.0","5.0","0.125","0.625","1.0","3.0","3.0","0.125","0.375","1.0","6.0","6.0","0.125","0.75"
"21","3.0","1.0","3.0","0.42857142857142855","0.14285714285714285","2.0","1.0","2.0","0.2857142857142857","0.14285714285714285","3.0","1.0","3.0","0.42857142857142855","0.14285714285714285","3.0","0.0","0.0","0.42857142857142855","0.0","1.0","4.0","4.0","0.14285714285714285","0.5714285714285714","1.0","2.0","2.0","0.14285714285714285","0.2857142857142857","1.0","5.0","5.0","0.14285714285714285","0.7142857142857143"
