"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS"
"10","0.4165103","0.4015009","0.26282051282051283","3.1538461538461537","10.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","1.0","0.1604278","3.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","0.0","0","1.0","0","2.0","0","9.0","0","7.0","0.03285871","1.0","0","5.0","0","1.0","0","10.0","0"
"11","0.4165103","0.4015009","0.26282051282051283","3.1538461538461537","10.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","1.0","0.1666667","3.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","0.0","0","1.0","0","2.0","0","9.0","0","7.0","0.03333333","1.0","0","5.0","0","1.0","0","10.0","0"
"12","0.4165103","0.4015009","0.26282051282051283","3.1538461538461537","10.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","1.0","0.1700405","3.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","0.0","0","1.0","0","2.0","0","9.0","0","7.0","0.03330690","1.0","0","5.0","0","1.0","0","10.0","0"
"13","0.4165103","0.4015009","0.26282051282051283","3.1538461538461537","10.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","1.0","0.1714286","3.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","0.0","0","1.0","0","2.0","0","9.0","0","7.0","0.03296703","1.0","0","5.0","0","1.0","0","10.0","0"
"14","0.4165103","0.4015009","0.26282051282051283","3.1538461538461537","10.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","1.0","0.1714286","3.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","0.0","0","1.0","0","2.0","0","9.0","0","7.0","0.03243243","1.0","0","5.0","0","1.0","0","10.0","0"
"15","0.4165103","0.4015009","0.26282051282051283","3.1538461538461537","10.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","1.0","0.1704545","3.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","0.0","0","1.0","0","2.0","0","9.0","0","7.0","0.03177966","1.0","0","5.0","0","1.0","0","10.0","0"
"16","0.4165103","0.4015009","0.26282051282051283","3.1538461538461537","10.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","1.0","0.1687980","3.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","0.0","0","1.0","0","2.0","0","9.0","0","7.0","0.03105882","1.0","0","5.0","0","1.0","0","10.0","0"
"17","0.4165103","0.4015009","0.26282051282051283","3.1538461538461537","10.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","1.0","0.1666667","3.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","0.0","0","1.0","0","2.0","0","9.0","0","7.0","0.03030303","1.0","0","5.0","0","1.0","0","10.0","0"
"18","0.4165103","0.4015009","0.26282051282051283","3.1538461538461537","10.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","1.0","0.1642105","3.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","0.0","0","1.0","0","2.0","0","9.0","0","7.0","0.02953427","1.0","0","5.0","0","1.0","0","10.0","0"
"19","0.4165103","0.4015009","0.26282051282051283","3.1538461538461537","10.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","1.0","0.1615385","3.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","0.0","0","1.0","0","2.0","0","9.0","0","7.0","0.02876712","1.0","0","5.0","0","1.0","0","10.0","0"
"20","0.4165103","0.4015009","0.26282051282051283","3.1538461538461537","10.0","0","1.0","0","2.0","0","2.0","0","2.0","0","2.0","0","3.0","0","2.0","0","2.0","0","2.0","0","1.0","0.1587302","3.0","0","3.0","0","3.0","0","3.0","0","2.0","0","3.0","0","0.0","0","1.0","0","2.0","0","9.0","0","7.0","0.02801120","1.0","0","5.0","0","1.0","0","10.0","0"
