"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","RD10-ADS","RD10-GINI -ADS","RD10-AIS","RD10-GINI -AIS","RD11-ADS","RD11-GINI -ADS","RD11-AIS","RD11-GINI -AIS","RD12-ADS","RD12-GINI -ADS","RD12-AIS","RD12-GINI -AIS","RD13-ADS","RD13-GINI -ADS","RD13-AIS","RD13-GINI -AIS","RD14-ADS","RD14-GINI -ADS","RD14-AIS","RD14-GINI -AIS","RD15-ADS","RD15-GINI -ADS","RD15-AIS","RD15-GINI -AIS","RD16-ADS","RD16-GINI -ADS","RD16-AIS","RD16-GINI -AIS","RD17-ADS","RD17-GINI -ADS","RD17-AIS","RD17-GINI -AIS","RD18-ADS","RD18-GINI -ADS","RD18-AIS","RD18-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2543860","0.6658692","0.12337662337662338","2.590909090909091","4.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","2.0","0","2.0","0","0.0","0","4.0","0","1.0","0","4.0","0","7.0","0.1512151","3.0","0","1.0","0","1.0","0","1.0","0","5.0","0","0.0","0","1.0","0","19.0","0.01241685","0.0","0","10.0","0.02401372","2.0","0","6.0","0"
"11","0.2543860","0.6658692","0.12337662337662338","2.590909090909091","4.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","2.0","0","2.0","0","0.0","0","4.0","0","1.0","0","4.0","0","7.0","0.1481481","3.0","0","1.0","0","1.0","0","1.0","0","5.0","0","0.0","0","1.0","0","19.0","0.01190476","0.0","0","10.0","0.02298851","2.0","0","6.0","0"
"12","0.2543860","0.6658692","0.12337662337662338","2.590909090909091","4.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","2.0","0","2.0","0","0.0","0","4.0","0","1.0","0","4.0","0","7.0","0.1444816","3.0","0","1.0","0","1.0","0","1.0","0","5.0","0","0.0","0","1.0","0","19.0","0.01139601","0.0","0","10.0","0.02197802","2.0","0","6.0","0"
"13","0.2543860","0.6658692","0.12337662337662338","2.590909090909091","4.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","2.0","0","2.0","0","0.0","0","4.0","0","1.0","0","4.0","0","7.0","0.1405152","3.0","0","1.0","0","1.0","0","1.0","0","5.0","0","0.0","0","1.0","0","19.0","0.01090513","0.0","0","10.0","0.02100840","2.0","0","6.0","0"
"14","0.2543860","0.6658692","0.12337662337662338","2.590909090909091","4.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","2.0","0","2.0","0","0.0","0","4.0","0","1.0","0","4.0","0","7.0","0.1364341","3.0","0","1.0","0","1.0","0","1.0","0","5.0","0","0.0","0","1.0","0","19.0","0.01043891","0.0","0","10.0","0.02009132","2.0","0","6.0","0"
"15","0.2543860","0.6658692","0.12337662337662338","2.590909090909091","4.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","2.0","0","2.0","0","0.0","0","4.0","0","1.0","0","4.0","0","7.0","0.1323529","3.0","0","1.0","0","1.0","0","1.0","0","5.0","0","0.0","0","1.0","0","19.0","0.01","0.0","0","10.0","0.01923077","2.0","0","6.0","0"
"16","0.2543860","0.6658692","0.12337662337662338","2.590909090909091","4.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","2.0","0","2.0","0","0.0","0","4.0","0","1.0","0","4.0","0","7.0","0.1283422","3.0","0","1.0","0","1.0","0","1.0","0","5.0","0","0.0","0","1.0","0","19.0","0.009588788","0.0","0","10.0","0.01842665","2.0","0","6.0","0"
"17","0.2543860","0.6658692","0.12337662337662338","2.590909090909091","4.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","2.0","0","2.0","0","0.0","0","4.0","0","1.0","0","4.0","0","7.0","0.1244444","3.0","0","1.0","0","1.0","0","1.0","0","5.0","0","0.0","0","1.0","0","19.0","0.009204471","0.0","0","10.0","0.01767677","2.0","0","6.0","0"
"18","0.2543860","0.6658692","0.12337662337662338","2.590909090909091","4.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","2.0","0","2.0","0","0.0","0","4.0","0","1.0","0","4.0","0","7.0","0.1206839","3.0","0","1.0","0","1.0","0","1.0","0","5.0","0","0.0","0","1.0","0","19.0","0.008845644","0.0","0","10.0","0.01697793","2.0","0","6.0","0"
"19","0.2543860","0.6658692","0.12337662337662338","2.590909090909091","4.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","2.0","0","2.0","0","0.0","0","4.0","0","1.0","0","4.0","0","7.0","0.1170732","3.0","0","1.0","0","1.0","0","1.0","0","5.0","0","0.0","0","1.0","0","19.0","0.008510638","0.0","0","10.0","0.01632653","2.0","0","6.0","0"
"20","0.2543860","0.6658692","0.12337662337662338","2.590909090909091","4.0","0","1.0","0","1.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","2.0","0","2.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","3.0","0","2.0","0","2.0","0","0.0","0","4.0","0","1.0","0","4.0","0","7.0","0.1136174","3.0","0","1.0","0","1.0","0","1.0","0","5.0","0","0.0","0","1.0","0","19.0","0.008197709","0.0","0","10.0","0.01571891","2.0","0","6.0","0"
