"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS"
"10","0.5347222","0.3194444","0.18181818181818182","2.0","1.0","0","2.0","0","7.0","0","1.0","0","2.0","0","1.0","0","0.0","0.5454545","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","4.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0","3.0","0","3.0","0.07177033"
"11","0.5347222","0.3194444","0.18181818181818182","2.0","1.0","0","2.0","0","7.0","0","1.0","0","2.0","0","1.0","0","0.0","0.5833333","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","4.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0","3.0","0","3.0","0.07113821"
"12","0.5347222","0.3194444","0.18181818181818182","2.0","1.0","0","2.0","0","7.0","0","1.0","0","2.0","0","1.0","0","0.0","0.6153846","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","4.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0","3.0","0","3.0","0.06993007"
"13","0.5347222","0.3194444","0.18181818181818182","2.0","1.0","0","2.0","0","7.0","0","1.0","0","2.0","0","1.0","0","0.0","0.6428571","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","4.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0","3.0","0","3.0","0.06838906"
"14","0.5347222","0.3194444","0.18181818181818182","2.0","1.0","0","2.0","0","7.0","0","1.0","0","2.0","0","1.0","0","0.0","0.6666667","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","4.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0","3.0","0","3.0","0.06666667"
"15","0.5347222","0.3194444","0.18181818181818182","2.0","1.0","0","2.0","0","7.0","0","1.0","0","2.0","0","1.0","0","0.0","0.6875","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","4.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0","3.0","0","3.0","0.06485849"
"16","0.5347222","0.3194444","0.18181818181818182","2.0","1.0","0","2.0","0","7.0","0","1.0","0","2.0","0","1.0","0","0.0","0.7058824","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","4.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0","3.0","0","3.0","0.06302521"
"17","0.5347222","0.3194444","0.18181818181818182","2.0","1.0","0","2.0","0","7.0","0","1.0","0","2.0","0","1.0","0","0.0","0.7222222","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","4.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0","3.0","0","3.0","0.06120527"
"18","0.5347222","0.3194444","0.18181818181818182","2.0","1.0","0","2.0","0","7.0","0","1.0","0","2.0","0","1.0","0","0.0","0.7368421","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","4.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0","3.0","0","3.0","0.05942275"
"19","0.5347222","0.3194444","0.18181818181818182","2.0","1.0","0","2.0","0","7.0","0","1.0","0","2.0","0","1.0","0","0.0","0.75","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","4.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0","3.0","0","3.0","0.05769231"
"20","0.5347222","0.3194444","0.18181818181818182","2.0","1.0","0","2.0","0","7.0","0","1.0","0","2.0","0","1.0","0","0.0","0.7619048","3.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","2.0","0","4.0","0","1.0","0","4.0","0","0.0","0","0.0","0","5.0","0","3.0","0","3.0","0.05602241"
