"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.1929348","0.7201087","0.19166666666666668","2.875","3.0","0","1.0","0","3.0","0","4.0","0.1363636","4.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","2.0","0","3.0","0","2.0","0","4.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","1.0","0","14.0","0.01696970","1.0","0","7.0","0.03486924","1.0","0","13.0","0","2.0","0","3.0","0"
"11","0.1929348","0.7201087","0.19166666666666668","2.875","3.0","0","1.0","0","3.0","0","4.0","0.1333333","4.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","2.0","0","3.0","0","2.0","0","4.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","1.0","0","14.0","0.01626016","1.0","0","7.0","0.03333333","1.0","0","13.0","0","2.0","0","3.0","0"
"12","0.1929348","0.7201087","0.19166666666666668","2.875","3.0","0","1.0","0","3.0","0","4.0","0.1298077","4.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","2.0","0","3.0","0","2.0","0","4.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","1.0","0","14.0","0.01555748","1.0","0","7.0","0.03183024","1.0","0","13.0","0","2.0","0","3.0","0"
"13","0.1929348","0.7201087","0.19166666666666668","2.875","3.0","0","1.0","0","3.0","0","4.0","0.1260504","4.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","2.0","0","3.0","0","2.0","0","4.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","1.0","0","14.0","0.01488095","1.0","0","7.0","0.03039514","1.0","0","13.0","0","2.0","0","3.0","0"
"14","0.1929348","0.7201087","0.19166666666666668","2.875","3.0","0","1.0","0","3.0","0","4.0","0.1222222","4.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","2.0","0","3.0","0","2.0","0","4.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","1.0","0","14.0","0.01423948","1.0","0","7.0","0.02904290","1.0","0","13.0","0","2.0","0","3.0","0"
"15","0.1929348","0.7201087","0.19166666666666668","2.875","3.0","0","1.0","0","3.0","0","4.0","0.1184211","4.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","2.0","0","3.0","0","2.0","0","4.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","1.0","0","14.0","0.01363636","1.0","0","7.0","0.02777778","1.0","0","13.0","0","2.0","0","3.0","0"
"16","0.1929348","0.7201087","0.19166666666666668","2.875","3.0","0","1.0","0","3.0","0","4.0","0.1147059","4.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","2.0","0","3.0","0","2.0","0","4.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","1.0","0","14.0","0.01307190","1.0","0","7.0","0.02659847","1.0","0","13.0","0","2.0","0","3.0","0"
"17","0.1929348","0.7201087","0.19166666666666668","2.875","3.0","0","1.0","0","3.0","0","4.0","0.1111111","4.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","2.0","0","3.0","0","2.0","0","4.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","1.0","0","14.0","0.01254480","1.0","0","7.0","0.02550091","1.0","0","13.0","0","2.0","0","3.0","0"
"18","0.1929348","0.7201087","0.19166666666666668","2.875","3.0","0","1.0","0","3.0","0","4.0","0.1076555","4.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","2.0","0","3.0","0","2.0","0","4.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","1.0","0","14.0","0.01205303","1.0","0","7.0","0.02447980","1.0","0","13.0","0","2.0","0","3.0","0"
"19","0.1929348","0.7201087","0.19166666666666668","2.875","3.0","0","1.0","0","3.0","0","4.0","0.1043478","4.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","2.0","0","3.0","0","2.0","0","4.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","1.0","0","14.0","0.01159420","1.0","0","7.0","0.02352941","1.0","0","13.0","0","2.0","0","3.0","0"
"20","0.1929348","0.7201087","0.19166666666666668","2.875","3.0","0","1.0","0","3.0","0","4.0","0.1011905","4.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","3.0","0","0.0","0","3.0","0","2.0","0","3.0","0","2.0","0","4.0","0","0.0","0","4.0","0","0.0","0","3.0","0","0.0","0","4.0","0","0.0","0","1.0","0","14.0","0.01116585","1.0","0","7.0","0.02264402","1.0","0","13.0","0","2.0","0","3.0","0"
