"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2558923","0.6195286","0.24545454545454545","2.4545454545454546","4.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0.1212121","3.0","0","0.0","0","3.0","0","0.0","0","0.0","0","9.0","0.02932551","1.0","0","9.0","0.02932551","2.0","0","2.0","0"
"11","0.2558923","0.6195286","0.24545454545454545","2.4545454545454546","4.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0.125","3.0","0","0.0","0","3.0","0","0.0","0","0.0","0","9.0","0.02941176","1.0","0","9.0","0.02941176","2.0","0","2.0","0"
"12","0.2558923","0.6195286","0.24545454545454545","2.4545454545454546","4.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0.1266968","3.0","0","0.0","0","3.0","0","0.0","0","0.0","0","9.0","0.02910603","1.0","0","9.0","0.02910603","2.0","0","2.0","0"
"13","0.2558923","0.6195286","0.24545454545454545","2.4545454545454546","4.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0.1269841","3.0","0","0.0","0","3.0","0","0.0","0","0.0","0","9.0","0.02857143","1.0","0","9.0","0.02857143","2.0","0","2.0","0"
"14","0.2558923","0.6195286","0.24545454545454545","2.4545454545454546","4.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0.1263158","3.0","0","0.0","0","3.0","0","0.0","0","0.0","0","9.0","0.02790698","1.0","0","9.0","0.02790698","2.0","0","2.0","0"
"15","0.2558923","0.6195286","0.24545454545454545","2.4545454545454546","4.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0.125","3.0","0","0.0","0","3.0","0","0.0","0","0.0","0","9.0","0.02717391","1.0","0","9.0","0.02717391","2.0","0","2.0","0"
"16","0.2558923","0.6195286","0.24545454545454545","2.4545454545454546","4.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0.1232493","3.0","0","0.0","0","3.0","0","0.0","0","0.0","0","9.0","0.02641056","1.0","0","9.0","0.02641056","2.0","0","2.0","0"
"17","0.2558923","0.6195286","0.24545454545454545","2.4545454545454546","4.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0.1212121","3.0","0","0.0","0","3.0","0","0.0","0","0.0","0","9.0","0.02564103","1.0","0","9.0","0.02564103","2.0","0","2.0","0"
"18","0.2558923","0.6195286","0.24545454545454545","2.4545454545454546","4.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0.1189931","3.0","0","0.0","0","3.0","0","0.0","0","0.0","0","9.0","0.02488038","1.0","0","9.0","0.02488038","2.0","0","2.0","0"
"19","0.2558923","0.6195286","0.24545454545454545","2.4545454545454546","4.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0.1166667","3.0","0","0.0","0","3.0","0","0.0","0","0.0","0","9.0","0.02413793","1.0","0","9.0","0.02413793","2.0","0","2.0","0"
"20","0.2558923","0.6195286","0.24545454545454545","2.4545454545454546","4.0","0","0.0","0","2.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","2.0","0","3.0","0.1142857","3.0","0","0.0","0","3.0","0","0.0","0","0.0","0","9.0","0.02341920","1.0","0","9.0","0.02341920","2.0","0","2.0","0"
