"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS"
"11","0.4148148","0.3703704","0.20833333333333334","1.6666666666666667","2.0","0","1.0","0","0.0","0.3333333","2.0","0","3.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","2.0","0","4.0","0","3.0","0.06060606","0.0","0","4.0","0"
"12","0.4148148","0.3703704","0.20833333333333334","1.6666666666666667","2.0","0","1.0","0","0.0","0.3846154","2.0","0","3.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","2.0","0","4.0","0","3.0","0.06546645","0.0","0","4.0","0"
"13","0.4148148","0.3703704","0.20833333333333334","1.6666666666666667","2.0","0","1.0","0","0.0","0.4285714","2.0","0","3.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","2.0","0","4.0","0","3.0","0.06857143","0.0","0","4.0","0"
"14","0.4148148","0.3703704","0.20833333333333334","1.6666666666666667","2.0","0","1.0","0","0.0","0.4666667","2.0","0","3.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","2.0","0","4.0","0","3.0","0.07044025","0.0","0","4.0","0"
"15","0.4148148","0.3703704","0.20833333333333334","1.6666666666666667","2.0","0","1.0","0","0.0","0.5","2.0","0","3.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","2.0","0","4.0","0","3.0","0.07142857","0.0","0","4.0","0"
"16","0.4148148","0.3703704","0.20833333333333334","1.6666666666666667","2.0","0","1.0","0","0.0","0.5294118","2.0","0","3.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","2.0","0","4.0","0","3.0","0.07178465","0.0","0","4.0","0"
"17","0.4148148","0.3703704","0.20833333333333334","1.6666666666666667","2.0","0","1.0","0","0.0","0.5555556","2.0","0","3.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","2.0","0","4.0","0","3.0","0.07168459","0.0","0","4.0","0"
"18","0.4148148","0.3703704","0.20833333333333334","1.6666666666666667","2.0","0","1.0","0","0.0","0.5789474","2.0","0","3.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","2.0","0","4.0","0","3.0","0.07125506","0.0","0","4.0","0"
"19","0.4148148","0.3703704","0.20833333333333334","1.6666666666666667","2.0","0","1.0","0","0.0","0.6","2.0","0","3.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","2.0","0","4.0","0","3.0","0.07058824","0.0","0","4.0","0"
"20","0.4148148","0.3703704","0.20833333333333334","1.6666666666666667","2.0","0","1.0","0","0.0","0.6190476","2.0","0","3.0","0","1.0","0","1.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","2.0","0","4.0","0","3.0","0.06975184","0.0","0","4.0","0"
