"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2555556","0.4444444","0.2","1.8","2.0","0","1.0","0","1.0","0","3.0","0.1704545","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","4.0","0.06993007","3.0","0","4.0","0","1.0","0","3.0","0"
"11","0.2555556","0.4444444","0.2","1.8","2.0","0","1.0","0","1.0","0","3.0","0.1715686","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","4.0","0.06782946","3.0","0","4.0","0","1.0","0","3.0","0"
"12","0.2555556","0.4444444","0.2","1.8","2.0","0","1.0","0","1.0","0","3.0","0.1709402","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","4.0","0.06546645","3.0","0","4.0","0","1.0","0","3.0","0"
"13","0.2555556","0.4444444","0.2","1.8","2.0","0","1.0","0","1.0","0","3.0","0.1691729","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","4.0","0.06302521","3.0","0","4.0","0","1.0","0","3.0","0"
"14","0.2555556","0.4444444","0.2","1.8","2.0","0","1.0","0","1.0","0","3.0","0.1666667","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","4.0","0.06060606","3.0","0","4.0","0","1.0","0","3.0","0"
"15","0.2555556","0.4444444","0.2","1.8","2.0","0","1.0","0","1.0","0","3.0","0.1636905","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","4.0","0.05826271","3.0","0","4.0","0","1.0","0","3.0","0"
"16","0.2555556","0.4444444","0.2","1.8","2.0","0","1.0","0","1.0","0","3.0","0.1604278","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","4.0","0.05602241","3.0","0","4.0","0","1.0","0","3.0","0"
"17","0.2555556","0.4444444","0.2","1.8","2.0","0","1.0","0","1.0","0","3.0","0.1570048","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","4.0","0.05389718","3.0","0","4.0","0","1.0","0","3.0","0"
"18","0.2555556","0.4444444","0.2","1.8","2.0","0","1.0","0","1.0","0","3.0","0.1535088","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","4.0","0.05189029","3.0","0","4.0","0","1.0","0","3.0","0"
"19","0.2555556","0.4444444","0.2","1.8","2.0","0","1.0","0","1.0","0","3.0","0.15","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","4.0","0.05","3.0","0","4.0","0","1.0","0","3.0","0"
"20","0.2555556","0.4444444","0.2","1.8","2.0","0","1.0","0","1.0","0","3.0","0.1465201","2.0","0","0.0","0","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","1.0","0","3.0","0","0.0","0","0.0","0","4.0","0.04822182","3.0","0","4.0","0","1.0","0","3.0","0"
