"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","RD1-ADS","RD1-GINI -ADS","RD1-AIS","RD1-GINI -AIS","RD2-ADS","RD2-GINI -ADS","RD2-AIS","RD2-GINI -AIS","RD3-ADS","RD3-GINI -ADS","RD3-AIS","RD3-GINI -AIS","RD4-ADS","RD4-GINI -ADS","RD4-AIS","RD4-GINI -AIS","RD5-ADS","RD5-GINI -ADS","RD5-AIS","RD5-GINI -AIS","RD6-ADS","RD6-GINI -ADS","RD6-AIS","RD6-GINI -AIS","RD7-ADS","RD7-GINI -ADS","RD7-AIS","RD7-GINI -AIS","RD8-ADS","RD8-GINI -ADS","RD8-AIS","RD8-GINI -AIS","RD9-ADS","RD9-GINI -ADS","RD9-AIS","RD9-GINI -AIS","RD10-ADS","RD10-GINI -ADS","RD10-AIS","RD10-GINI -AIS","RD11-ADS","RD11-GINI -ADS","RD11-AIS","RD11-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2484756","0.5746951","0.17083333333333334","2.5625","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1498501","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","0.0","0","1.0","0","13.0","0.01976285","0.0","0","7.0","0.03787879","2.0","0","5.0","0"
"11","0.2484756","0.5746951","0.17083333333333334","2.5625","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1503436","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","0.0","0","1.0","0","13.0","0.01931567","0.0","0","7.0","0.03691983","2.0","0","5.0","0"
"12","0.2484756","0.5746951","0.17083333333333334","2.5625","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1493652","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","0.0","0","1.0","0","13.0","0.01876173","0.0","0","7.0","0.03577818","2.0","0","5.0","0"
"13","0.2484756","0.5746951","0.17083333333333334","2.5625","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1474443","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","0.0","0","1.0","0","13.0","0.01815981","0.0","0","7.0","0.03456221","2.0","0","5.0","0"
"14","0.2484756","0.5746951","0.17083333333333334","2.5625","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1449275","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","0.0","0","1.0","0","13.0","0.01754386","0.0","0","7.0","0.03333333","2.0","0","5.0","0"
"15","0.2484756","0.5746951","0.17083333333333334","2.5625","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1420455","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","0.0","0","1.0","0","13.0","0.01693350","0.0","0","7.0","0.03212617","2.0","0","5.0","0"
"16","0.2484756","0.5746951","0.17083333333333334","2.5625","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1389532","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","0.0","0","1.0","0","13.0","0.01633987","0.0","0","7.0","0.03095975","2.0","0","5.0","0"
"17","0.2484756","0.5746951","0.17083333333333334","2.5625","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1357561","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","0.0","0","1.0","0","13.0","0.01576904","0.0","0","7.0","0.02984389","2.0","0","5.0","0"
"18","0.2484756","0.5746951","0.17083333333333334","2.5625","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1325256","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","0.0","0","1.0","0","13.0","0.01522401","0.0","0","7.0","0.02878289","2.0","0","5.0","0"
"19","0.2484756","0.5746951","0.17083333333333334","2.5625","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1293103","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","0.0","0","1.0","0","13.0","0.01470588","0.0","0","7.0","0.02777778","2.0","0","5.0","0"
"20","0.2484756","0.5746951","0.17083333333333334","2.5625","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1261432","3.0","0","1.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","5.0","0","1.0","0","2.0","0","0.0","0","1.0","0","13.0","0.01421464","0.0","0","7.0","0.02682763","2.0","0","5.0","0"
