"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","BA15-ADS","BA15-GINI -ADS","BA15-AIS","BA15-GINI -AIS","BA16-ADS","BA16-GINI -ADS","BA16-AIS","BA16-GINI -AIS","BA17-ADS","BA17-GINI -ADS","BA17-AIS","BA17-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS"
"10","0.3720930","0.5605875","0.12573099415204678","2.263157894736842","3.0","0.2171717","5.0","0.04545455","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","5.0","0","2.0","0","1.0","0","1.0","0","1.0","0.08181818","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","1.0","0.08181818","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","4.0","0","1.0","0","11.0","0","0.0","0","0.0","0","16.0","0.01506781"
"11","0.3720930","0.5605875","0.12573099415204678","2.263157894736842","3.0","0.2115385","5.0","0.04487179","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","5.0","0","2.0","0","1.0","0","1.0","0","1.0","0.1071429","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","1.0","0.1071429","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","4.0","0","1.0","0","11.0","0","0.0","0","0.0","0","16.0","0.01480541"
"12","0.3720930","0.5605875","0.12573099415204678","2.263157894736842","3.0","0.2051282","5.0","0.04395604","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","5.0","0","2.0","0","1.0","0","1.0","0","1.0","0.1258741","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","1.0","0.1258741","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","4.0","0","1.0","0","11.0","0","0.0","0","0.0","0","16.0","0.01444565"
"13","0.3720930","0.5605875","0.12573099415204678","2.263157894736842","3.0","0.1984127","5.0","0.04285714","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","5.0","0","2.0","0","1.0","0","1.0","0","1.0","0.1397516","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","1.0","0.1397516","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","4.0","0","1.0","0","11.0","0","0.0","0","0.0","0","16.0","0.01403618"
"14","0.3720930","0.5605875","0.12573099415204678","2.263157894736842","3.0","0.1916667","5.0","0.04166667","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","5.0","0","2.0","0","1.0","0","1.0","0","1.0","0.15","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","1.0","0.15","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","4.0","0","1.0","0","11.0","0","0.0","0","0.0","0","16.0","0.01360544"
"15","0.3720930","0.5605875","0.12573099415204678","2.263157894736842","3.0","0.1850490","5.0","0.04044118","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","5.0","0","2.0","0","1.0","0","1.0","0","1.0","0.1575","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","1.0","0.1575","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","4.0","0","1.0","0","11.0","0","0.0","0","0.0","0","16.0","0.01317050"
"16","0.3720930","0.5605875","0.12573099415204678","2.263157894736842","3.0","0.1786492","5.0","0.03921569","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","5.0","0","2.0","0","1.0","0","1.0","0","1.0","0.1628959","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","1.0","0.1628959","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","4.0","0","1.0","0","11.0","0","0.0","0","0.0","0","16.0","0.01274156"
"17","0.3720930","0.5605875","0.12573099415204678","2.263157894736842","3.0","0.1725146","5.0","0.03801170","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","5.0","0","2.0","0","1.0","0","1.0","0","1.0","0.1666667","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","1.0","0.1666667","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","4.0","0","1.0","0","11.0","0","0.0","0","0.0","0","16.0","0.01232461"
"18","0.3720930","0.5605875","0.12573099415204678","2.263157894736842","3.0","0.1666667","5.0","0.03684211","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","5.0","0","2.0","0","1.0","0","1.0","0","1.0","0.1691729","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","1.0","0.1691729","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","4.0","0","1.0","0","11.0","0","0.0","0","0.0","0","16.0","0.01192301"
"19","0.3720930","0.5605875","0.12573099415204678","2.263157894736842","3.0","0.1611111","5.0","0.03571429","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","5.0","0","2.0","0","1.0","0","1.0","0","1.0","0.1706897","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","1.0","0.1706897","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","4.0","0","1.0","0","11.0","0","0.0","0","0.0","0","16.0","0.01153846"
"20","0.3720930","0.5605875","0.12573099415204678","2.263157894736842","3.0","0.1558442","5.0","0.03463203","2.0","0","3.0","0","2.0","0","1.0","0","2.0","0","5.0","0","2.0","0","1.0","0","1.0","0","1.0","0.1714286","2.0","0","1.0","0","2.0","0","1.0","0","2.0","0","0.0","0","1.0","0","1.0","0.1714286","2.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","2.0","0","1.0","0","1.0","0","1.0","0","4.0","0","1.0","0","11.0","0","0.0","0","0.0","0","16.0","0.01117162"
