"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","BA15-ADS","BA15-GINI -ADS","BA15-AIS","BA15-GINI -AIS","BA16-ADS","BA16-GINI -ADS","BA16-AIS","BA16-GINI -AIS","BA17-ADS","BA17-GINI -ADS","BA17-AIS","BA17-GINI -AIS","BA18-ADS","BA18-GINI -ADS","BA18-AIS","BA18-GINI -AIS","BA19-ADS","BA19-GINI -ADS","BA19-AIS","BA19-GINI -AIS","BA20-ADS","BA20-GINI -ADS","BA20-AIS","BA20-GINI -AIS","BA21-ADS","BA21-GINI -ADS","BA21-AIS","BA21-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS"
"10","0.2984234","0.6227477","0.13405797101449277","3.0833333333333335","3.0","0.1953867","7.0","0.02727273","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","4.0","0.05565863","2.0","0","1.0","0.1704545","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1558442","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.08181818","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.08181818","2.0","0","2.0","0","1.0","0","1.0","0","6.0","0","1.0","0","14.0","0","0.0","0","0.0","0","21.0","0.009324009","1.0","0","22.0","0.008905380"
"11","0.2984234","0.6227477","0.13405797101449277","3.0833333333333335","3.0","0.2119048","7.0","0.02586207","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","4.0","0.05503145","2.0","0","1.0","0.1715686","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.15","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1071429","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1071429","2.0","0","2.0","0","1.0","0","1.0","0","6.0","0","1.0","0","14.0","0","0.0","0","0.0","0","21.0","0.008823529","1.0","0","22.0","0.008426966"
"12","0.2984234","0.6227477","0.13405797101449277","3.0833333333333335","3.0","0.2233930","7.0","0.02454992","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","4.0","0.05398111","2.0","0","1.0","0.1709402","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1442308","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1258741","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1258741","2.0","0","2.0","0","1.0","0","1.0","0","6.0","0","1.0","0","14.0","0","0.0","0","0.0","0","21.0","0.008361204","1.0","0","22.0","0.007985094"
"13","0.2984234","0.6227477","0.13405797101449277","3.0833333333333335","3.0","0.2312030","7.0","0.02333805","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","4.0","0.05269321","2.0","0","1.0","0.1691729","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1386555","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1397516","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1397516","2.0","0","2.0","0","1.0","0","1.0","0","6.0","0","1.0","0","14.0","0","0.0","0","0.0","0","21.0","0.007936508","1.0","0","22.0","0.007579237"
"14","0.2984234","0.6227477","0.13405797101449277","3.0833333333333335","3.0","0.2362869","7.0","0.02222222","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","4.0","0.05128205","2.0","0","1.0","0.1666667","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1333333","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.15","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.15","2.0","0","2.0","0","1.0","0","1.0","0","6.0","0","1.0","0","14.0","0","0.0","0","0.0","0","21.0","0.007547170","1.0","0","22.0","0.007207207"
"15","0.2984234","0.6227477","0.13405797101449277","3.0833333333333335","3.0","0.2393293","7.0","0.02119565","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","4.0","0.04981884","2.0","0","1.0","0.1636905","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1282895","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1575","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1575","2.0","0","2.0","0","1.0","0","1.0","0","6.0","0","1.0","0","14.0","0","0.0","0","0.0","0","21.0","0.007190265","1.0","0","22.0","0.006866197"
"16","0.2984234","0.6227477","0.13405797101449277","3.0833333333333335","3.0","0.2408304","7.0","0.02025072","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","4.0","0.04834811","2.0","0","1.0","0.1604278","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1235294","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1628959","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1628959","2.0","0","2.0","0","1.0","0","1.0","0","6.0","0","1.0","0","14.0","0","0.0","0","0.0","0","21.0","0.006862745","1.0","0","22.0","0.006553284"
"17","0.2984234","0.6227477","0.13405797101449277","3.0833333333333335","3.0","0.2411616","7.0","0.01937984","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","4.0","0.04689755","2.0","0","1.0","0.1570048","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1190476","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1666667","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1666667","2.0","0","2.0","0","1.0","0","1.0","0","6.0","0","1.0","0","14.0","0","0.0","0","0.0","0","21.0","0.006561680","1.0","0","22.0","0.006265664"
"18","0.2984234","0.6227477","0.13405797101449277","3.0833333333333335","3.0","0.2406015","7.0","0.01857585","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","4.0","0.04548408","2.0","0","1.0","0.1535088","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1148325","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1691729","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1691729","2.0","0","2.0","0","1.0","0","1.0","0","6.0","0","1.0","0","14.0","0","0.0","0","0.0","0","21.0","0.006284368","1.0","0","22.0","0.006000750"
"19","0.2984234","0.6227477","0.13405797101449277","3.0833333333333335","3.0","0.2393617","7.0","0.01783217","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","4.0","0.04411765","2.0","0","1.0","0.15","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1108696","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1706897","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1706897","2.0","0","2.0","0","1.0","0","1.0","0","6.0","0","1.0","0","14.0","0","0.0","0","0.0","0","21.0","0.006028369","1.0","0","22.0","0.005756208"
"20","0.2984234","0.6227477","0.13405797101449277","3.0833333333333335","3.0","0.2376043","7.0","0.01714286","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","4.0","0.04280364","2.0","0","1.0","0.1465201","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1071429","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1714286","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","2.0","0","1.0","0.1714286","2.0","0","2.0","0","1.0","0","1.0","0","6.0","0","1.0","0","14.0","0","0.0","0","0.0","0","21.0","0.005791506","1.0","0","22.0","0.005529954"
