"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2489712","0.5864198","0.17647058823529413","3.0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1704545","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","0.0","0","6.0","0.04470939","7.0","0","10.0","0","1.0","0","15.0","0.01704545","2.0","0","6.0","0"
"11","0.2489712","0.5864198","0.17647058823529413","3.0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1715686","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","0.0","0","6.0","0.04353234","7.0","0","10.0","0","1.0","0","15.0","0.01666667","2.0","0","6.0","0"
"12","0.2489712","0.5864198","0.17647058823529413","3.0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1709402","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","0.0","0","6.0","0.04214963","7.0","0","10.0","0","1.0","0","15.0","0.01619433","2.0","0","6.0","0"
"13","0.2489712","0.5864198","0.17647058823529413","3.0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1691729","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","0.0","0","6.0","0.04068716","7.0","0","10.0","0","1.0","0","15.0","0.01567944","2.0","0","6.0","0"
"14","0.2489712","0.5864198","0.17647058823529413","3.0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1666667","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","0.0","0","6.0","0.03921569","7.0","0","10.0","0","1.0","0","15.0","0.01515152","2.0","0","6.0","0"
"15","0.2489712","0.5864198","0.17647058823529413","3.0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1636905","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","0.0","0","6.0","0.03777473","7.0","0","10.0","0","1.0","0","15.0","0.01462766","2.0","0","6.0","0"
"16","0.2489712","0.5864198","0.17647058823529413","3.0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1604278","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","0.0","0","6.0","0.03638569","7.0","0","10.0","0","1.0","0","15.0","0.01411765","2.0","0","6.0","0"
"17","0.2489712","0.5864198","0.17647058823529413","3.0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1570048","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","0.0","0","6.0","0.03505933","7.0","0","10.0","0","1.0","0","15.0","0.01362683","2.0","0","6.0","0"
"18","0.2489712","0.5864198","0.17647058823529413","3.0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1535088","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","0.0","0","6.0","0.03380010","7.0","0","10.0","0","1.0","0","15.0","0.01315789","2.0","0","6.0","0"
"19","0.2489712","0.5864198","0.17647058823529413","3.0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.15","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","0.0","0","6.0","0.03260870","7.0","0","10.0","0","1.0","0","15.0","0.01271186","2.0","0","6.0","0"
"20","0.2489712","0.5864198","0.17647058823529413","3.0","2.0","0","1.0","0","3.0","0","1.0","0","2.0","0","6.0","0.1465201","3.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","7.0","0","0.0","0","0.0","0","6.0","0.03148367","7.0","0","10.0","0","1.0","0","15.0","0.01228879","2.0","0","6.0","0"
