"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","BA10-ADS","BA10-GINI -ADS","BA10-AIS","BA10-GINI -AIS","BA11-ADS","BA11-GINI -ADS","BA11-AIS","BA11-GINI -AIS","BA12-ADS","BA12-GINI -ADS","BA12-AIS","BA12-GINI -AIS","BA13-ADS","BA13-GINI -ADS","BA13-AIS","BA13-GINI -AIS","BA14-ADS","BA14-GINI -ADS","BA14-AIS","BA14-GINI -AIS","BA15-ADS","BA15-GINI -ADS","BA15-AIS","BA15-GINI -AIS","BA16-ADS","BA16-GINI -ADS","BA16-AIS","BA16-GINI -AIS","CPS1-ADS","CPS1-GINI -ADS","CPS1-AIS","CPS1-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"11","0.2396694","0.6955923","0.14285714285714285","3.0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","4.0","0.15","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","11.0","0.01744186","7.0","0","9.0","0","1.0","0","9.0","0.02142857","1.0","0","19.0","0.01","3.0","0","4.0","0"
"12","0.2396694","0.6955923","0.14285714285714285","3.0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","4.0","0.1442308","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","11.0","0.01648352","7.0","0","9.0","0","1.0","0","9.0","0.02024291","1.0","0","19.0","0.009457755","3.0","0","4.0","0"
"13","0.2396694","0.6955923","0.14285714285714285","3.0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","4.0","0.1386555","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","11.0","0.01561022","7.0","0","9.0","0","1.0","0","9.0","0.01916376","1.0","0","19.0","0.008962520","3.0","0","4.0","0"
"14","0.2396694","0.6955923","0.14285714285714285","3.0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","4.0","0.1333333","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","11.0","0.01481481","7.0","0","9.0","0","1.0","0","9.0","0.01818182","1.0","0","19.0","0.008510638","3.0","0","4.0","0"
"15","0.2396694","0.6955923","0.14285714285714285","3.0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","4.0","0.1282895","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","11.0","0.01408960","7.0","0","9.0","0","1.0","0","9.0","0.01728723","1.0","0","19.0","0.008098007","3.0","0","4.0","0"
"16","0.2396694","0.6955923","0.14285714285714285","3.0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","4.0","0.1235294","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","11.0","0.01342711","7.0","0","9.0","0","1.0","0","9.0","0.01647059","1.0","0","19.0","0.007720588","3.0","0","4.0","0"
"17","0.2396694","0.6955923","0.14285714285714285","3.0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","4.0","0.1190476","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","11.0","0.01282051","7.0","0","9.0","0","1.0","0","9.0","0.01572327","1.0","0","19.0","0.007374631","3.0","0","4.0","0"
"18","0.2396694","0.6955923","0.14285714285714285","3.0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","4.0","0.1148325","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","11.0","0.01226367","7.0","0","9.0","0","1.0","0","9.0","0.01503759","1.0","0","19.0","0.007056748","3.0","0","4.0","0"
"19","0.2396694","0.6955923","0.14285714285714285","3.0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","4.0","0.1108696","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","11.0","0.01175115","7.0","0","9.0","0","1.0","0","9.0","0.01440678","1.0","0","19.0","0.006763926","3.0","0","4.0","0"
"20","0.2396694","0.6955923","0.14285714285714285","3.0","3.0","0","2.0","0","3.0","0","1.0","0","3.0","0","4.0","0.1071429","2.0","0","1.0","0","3.0","0","0.0","0","3.0","0","1.0","0","2.0","0","0.0","0","3.0","0","1.0","0","2.0","0","1.0","0","4.0","0","0.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","0.0","0","4.0","0","0.0","0","4.0","0","1.0","0","6.0","0","0.0","0","1.0","0","11.0","0.01127820","7.0","0","9.0","0","1.0","0","9.0","0.01382488","1.0","0","19.0","0.006493506","3.0","0","4.0","0"
