"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","BA6-ADS","BA6-GINI -ADS","BA6-AIS","BA6-GINI -AIS","BA7-ADS","BA7-GINI -ADS","BA7-AIS","BA7-GINI -AIS","BA8-ADS","BA8-GINI -ADS","BA8-AIS","BA8-GINI -AIS","BA9-ADS","BA9-GINI -ADS","BA9-AIS","BA9-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","TRC-ADS","TRC-GINI -ADS","TRC-AIS","TRC-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.2289855","0.5101449","0.21904761904761905","3.066666666666667","3.0","0","1.0","0","3.0","0","4.0","0.1696970","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","7.0","0","0.0","0","1.0","0","7.0","0.03486924","4.0","0","5.0","0","1.0","0","6.0","0.04105572","1.0","0","12.0","0.01988636","3.0","0","4.0","0"
"11","0.2289855","0.5101449","0.21904761904761905","3.066666666666667","3.0","0","1.0","0","3.0","0","4.0","0.1666667","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","7.0","0","0.0","0","1.0","0","7.0","0.03333333","4.0","0","5.0","0","1.0","0","6.0","0.03921569","1.0","0","12.0","0.01904762","3.0","0","4.0","0"
"12","0.2289855","0.5101449","0.21904761904761905","3.066666666666667","3.0","0","1.0","0","3.0","0","4.0","0.1628959","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","7.0","0","0.0","0","1.0","0","7.0","0.03183024","4.0","0","5.0","0","1.0","0","6.0","0.03742204","1.0","0","12.0","0.01821862","3.0","0","4.0","0"
"13","0.2289855","0.5101449","0.21904761904761905","3.066666666666667","3.0","0","1.0","0","3.0","0","4.0","0.1587302","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","7.0","0","0.0","0","1.0","0","7.0","0.03039514","4.0","0","5.0","0","1.0","0","6.0","0.03571429","1.0","0","12.0","0.01742160","3.0","0","4.0","0"
"14","0.2289855","0.5101449","0.21904761904761905","3.066666666666667","3.0","0","1.0","0","3.0","0","4.0","0.1543860","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","7.0","0","0.0","0","1.0","0","7.0","0.02904290","4.0","0","5.0","0","1.0","0","6.0","0.03410853","1.0","0","12.0","0.01666667","3.0","0","4.0","0"
"15","0.2289855","0.5101449","0.21904761904761905","3.066666666666667","3.0","0","1.0","0","3.0","0","4.0","0.15","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","7.0","0","0.0","0","1.0","0","7.0","0.02777778","4.0","0","5.0","0","1.0","0","6.0","0.03260870","1.0","0","12.0","0.01595745","3.0","0","4.0","0"
"16","0.2289855","0.5101449","0.21904761904761905","3.066666666666667","3.0","0","1.0","0","3.0","0","4.0","0.1456583","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","7.0","0","0.0","0","1.0","0","7.0","0.02659847","4.0","0","5.0","0","1.0","0","6.0","0.03121248","1.0","0","12.0","0.01529412","3.0","0","4.0","0"
"17","0.2289855","0.5101449","0.21904761904761905","3.066666666666667","3.0","0","1.0","0","3.0","0","4.0","0.1414141","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","7.0","0","0.0","0","1.0","0","7.0","0.02550091","4.0","0","5.0","0","1.0","0","6.0","0.02991453","1.0","0","12.0","0.01467505","3.0","0","4.0","0"
"18","0.2289855","0.5101449","0.21904761904761905","3.066666666666667","3.0","0","1.0","0","3.0","0","4.0","0.1372998","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","7.0","0","0.0","0","1.0","0","7.0","0.02447980","4.0","0","5.0","0","1.0","0","6.0","0.02870813","1.0","0","12.0","0.01409774","3.0","0","4.0","0"
"19","0.2289855","0.5101449","0.21904761904761905","3.066666666666667","3.0","0","1.0","0","3.0","0","4.0","0.1333333","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","7.0","0","0.0","0","1.0","0","7.0","0.02352941","4.0","0","5.0","0","1.0","0","6.0","0.02758621","1.0","0","12.0","0.01355932","3.0","0","4.0","0"
"20","0.2289855","0.5101449","0.21904761904761905","3.066666666666667","3.0","0","1.0","0","3.0","0","4.0","0.1295238","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","3.0","0","1.0","0","4.0","0","1.0","0","7.0","0","0.0","0","1.0","0","7.0","0.02264402","4.0","0","5.0","0","1.0","0","6.0","0.02654176","1.0","0","12.0","0.01305684","3.0","0","4.0","0"
