"release","APP - GINI -ADS","APP - GINI - AIS","APP - SCF","APP - ADCS","BA1-ADS","BA1-GINI -ADS","BA1-AIS","BA1-GINI -AIS","BA2-ADS","BA2-GINI -ADS","BA2-AIS","BA2-GINI -AIS","BA3-ADS","BA3-GINI -ADS","BA3-AIS","BA3-GINI -AIS","BA4-ADS","BA4-GINI -ADS","BA4-AIS","BA4-GINI -AIS","BA5-ADS","BA5-GINI -ADS","BA5-AIS","BA5-GINI -AIS","GTW-ADS","GTW-GINI -ADS","GTW-AIS","GTW-GINI -AIS","REG-ADS","REG-GINI -ADS","REG-AIS","REG-GINI -AIS","MSB-ADS","MSB-GINI -ADS","MSB-AIS","MSB-GINI -AIS","CFG-ADS","CFG-GINI -ADS","CFG-AIS","CFG-GINI -AIS","MSV1-ADS","MSV1-GINI -ADS","MSV1-AIS","MSV1-GINI -AIS"
"10","0.3","0.5","0.2","1.8","3.0","0","1.0","0","2.0","0","2.0","0.1414141","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","1.0","0","0.0","0","1.0","0","6.0","0.04314330","2.0","0","1.0","0","0.0","0","4.0","0","1.0","0","2.0","0"
"11","0.3","0.5","0.2","1.8","3.0","0","1.0","0","2.0","0","2.0","0.1535088","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","1.0","0","0.0","0","1.0","0","6.0","0.04487179","2.0","0","1.0","0","0.0","0","4.0","0","1.0","0","2.0","0"
"12","0.3","0.5","0.2","1.8","3.0","0","1.0","0","2.0","0","2.0","0.1615385","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","1.0","0","0.0","0","1.0","0","6.0","0.04550379","2.0","0","1.0","0","0.0","0","4.0","0","1.0","0","2.0","0"
"13","0.3","0.5","0.2","1.8","3.0","0","1.0","0","2.0","0","2.0","0.1666667","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","1.0","0","0.0","0","1.0","0","6.0","0.04545455","2.0","0","1.0","0","0.0","0","4.0","0","1.0","0","2.0","0"
"14","0.3","0.5","0.2","1.8","3.0","0","1.0","0","2.0","0","2.0","0.1696970","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","1.0","0","0.0","0","1.0","0","6.0","0.04497992","2.0","0","1.0","0","0.0","0","4.0","0","1.0","0","2.0","0"
"15","0.3","0.5","0.2","1.8","3.0","0","1.0","0","2.0","0","2.0","0.1711957","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","1.0","0","0.0","0","1.0","0","6.0","0.04424157","2.0","0","1.0","0","0.0","0","4.0","0","1.0","0","2.0","0"
"16","0.3","0.5","0.2","1.8","3.0","0","1.0","0","2.0","0","2.0","0.1715686","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","1.0","0","0.0","0","1.0","0","6.0","0.04334365","2.0","0","1.0","0","0.0","0","4.0","0","1.0","0","2.0","0"
"17","0.3","0.5","0.2","1.8","3.0","0","1.0","0","2.0","0","2.0","0.1711111","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","1.0","0","0.0","0","1.0","0","6.0","0.04235424","2.0","0","1.0","0","0.0","0","4.0","0","1.0","0","2.0","0"
"18","0.3","0.5","0.2","1.8","3.0","0","1.0","0","2.0","0","2.0","0.1700405","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","1.0","0","0.0","0","1.0","0","6.0","0.04131825","2.0","0","1.0","0","0.0","0","4.0","0","1.0","0","2.0","0"
"19","0.3","0.5","0.2","1.8","3.0","0","1.0","0","2.0","0","2.0","0.1685185","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","1.0","0","0.0","0","1.0","0","6.0","0.04026549","2.0","0","1.0","0","0.0","0","4.0","0","1.0","0","2.0","0"
"20","0.3","0.5","0.2","1.8","3.0","0","1.0","0","2.0","0","2.0","0.1666667","3.0","0","1.0","0","3.0","0","0.0","0","2.0","0","1.0","0","1.0","0","0.0","0","1.0","0","6.0","0.03921569","2.0","0","1.0","0","0.0","0","4.0","0","1.0","0","2.0","0"
